Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0
1.0651189279449809e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307288,0.0,6.393519215115048e-27,2.8691538226957823e-31,2.3815773744050734e-32,1.5374220095583518e-28,2.2518422897332526e-41,4.4297152319704994e-27,2.1402391372982664e-33,0.0,0.46346346346346345,4.2404480769596815e-24,1.287406078903165e-16,1.2874060789292167e-16,1.1979863003465478e-16
2.9823329982459464e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307254,0.0,3.861685605822291e-26,1.7329689089224076e-30,1.438472734088423e-31,9.286028937389375e-28,2.6733871662808576e-40,2.6755480000113214e-26,1.2927044388999583e-32,0.0,0.46346346346346345,1.1875181771795916e-23,3.6047370208795053e-16,3.6047370210368515e-16,3.354361640821819e-16
6.816761138847878e-20,0.13078664456000014,0.46346346346346345,0.0,0.0,0.0,0.07307307307307186,0.0,1.859235387594658e-25,8.343499316611644e-30,6.925627003986073e-31,4.470823203281082e-27,2.6247473726326515e-39,1.2881611893087301e-25,6.223815410840438e-32,0.0,0.46346346346346345,2.7152357786703503e-23,8.239398904634754e-16,8.239398905392311e-16,7.667112321178302e-16
1.448561742005174e-19,0.13078664456000033,0.46346346346346345,0.0,0.0,0.0,0.0730730730730705,0.0,8.119769401534534e-25,3.6438253550430146e-29,3.024603264684312e-30,1.952525951607348e-26,2.321559326434493e-38,5.625738343070193e-25,2.71810370393178e-31,0.0,0.46346346346346345,5.773754431745839e-23,1.7508722671355524e-15,1.7508722674663975e-15,1.629261367951503e-15
2.9823329982459467e-19,0.13078664456000066,0.46346346346346345,0.0,0.0,0.0,0.07307307307306778,0.0,3.389843886358579e-24,1.521225356990733e-28,1.2627123231804e-29,8.151411489892557e-26,1.951410497737765e-37,2.3486350146116517e-24,1.134754790202224e-30,0.0,0.46346346346346345,1.1903125538272049e-22,3.604737020163817e-15,3.60473702154503e-15,3.3543616386683543e-15
6.0498755107274915e-19,0.1307866445600014,0.46346346346346345,0.0,0.0,0.0,0.07307307307306235,0.0,1.3848618348046583e-23,6.214701947783514e-28,5.15859184988251e-29,3.3301175655317736e-25,1.5998842243613764e-36,9.594940369380937e-24,4.6358435776234525e-30,0.0,0.46346346346346345,2.4211202952820256e-22,7.312466524956786e-15,7.312466530599492e-15,6.804562176300078e-15
1.2184960535690582e-18,0.13078664456000283,0.46346346346346345,0.0,0.0,0.0,0.07307307307305148,0.0,5.597832951340679e-23,2.5120818925286157e-27,2.085185301927033e-28,1.3460867622916998e-24,1.2956277231643648e-35,3.8784283023164915e-23,1.8738820934439596e-29,0.0,0.46346346346346345,4.902469858785866e-22,1.4727925529488484e-14,1.4727925552297195e-14,1.370496323635561e-14
2.4455130585616763e-18,0.13078664456000566,0.46346346346346345,0.0,0.0,0.0,0.07307307307302975,0.0,2.2508640053104945e-22,1.0100970810105896e-26,8.38443836849476e-28,5.412555654495445e-24,1.0428339062152482e-34,1.5594989584855697e-22,7.534797470205568e-29,0.0,0.46346346346346345,9.944105308137385e-22,2.955884351833493e-14,2.955884361004774e-14,2.7505765295635005e-14
4.899547068546912e-18,0.13078664456001135,0.46346346346346345,0.0,0.0,0.0,0.07307307307298629,0.0,9.02697135065908e-22,4.050941076324683e-26,3.362534772276463e-27,2.170676888986275e-23,8.36808530417361e-34,6.254288294973773e-22,3.021790778619357e-28,0.0,0.46346346346346345,2.0343121495952176e-21,5.922067941515997e-14,5.922067978296937e-14,5.5107369170867144e-14
