Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0
1.0927862308223636e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307287,0.0,6.729986580401634e-27,3.1822372214397116e-31,4.015231384524519e-32,1.684592902746133e-28,3.25719084261495e-41,4.662834827441556e-27,2.252872039364101e-33,0.0,0.46346346346346345,3.535341809157369e-19,1.3208474655654866e-16,1.3208474655929077e-16,1.229104937846833e-16,3.535298302963059e-19
3.059801446302618e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307252,0.0,4.064911894446963e-26,1.922071281765693e-30,2.4251997561620488e-31,1.0174941132209477e-27,3.8669369682184645e-40,2.816352235668074e-26,1.3607347117454986e-32,0.0,0.46346346346346345,9.89895708592522e-19,3.698372903531407e-16,3.698372903697033e-16,3.441493825815016e-16,9.898835248084005e-19
6.993831877263128e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307183,0.0,1.9570800974073584e-25,9.253945840188238e-30,1.1676292864835588e-30,4.898796160620003e-27,3.7965816457365666e-39,1.3559523676600669e-25,6.551351890014524e-32,0.0,0.46346346346346345,2.262618772059925e-18,8.453423779255427e-16,8.4534237800528465e-16,7.866271601126917e-16,2.262590913747563e-18
1.4861892739184145e-19,0.13078664456000036,0.46346346346346345,0.0,0.0,0.0,0.07307307307307043,0.0,8.547082955317892e-25,4.0414412714780256e-29,5.099343856938895e-30,2.1394329859029782e-26,3.358033470229923e-38,5.921800229198088e-25,2.861147489520915e-31,0.0,0.46346346346346345,4.8080649314500635e-18,1.7963525529872183e-15,1.796352553335472e-15,1.6715827149252855e-15,4.8080056912857854e-18
3.059801446302618e-19,0.1307866445600007,0.46346346346346345,0.0,0.0,0.0,0.07307307307306764,0.0,3.568238883315979e-24,1.68722217503196e-28,2.1288756788083208e-29,8.931711565098496e-26,2.822629467573872e-37,2.4722350240220927e-24,1.1944727548465023e-30,0.0,0.46346346346346345,9.898957380051673e-18,3.6983729027780546e-15,3.6983729042319465e-15,3.441493823551328e-15,9.898835245001818e-18
6.207025791071026e-19,0.1307866445600014,0.46346346346346345,0.0,0.0,0.0,0.07307307307306206,0.0,1.4577420118956702e-23,6.892853113029067e-28,8.697151777411539e-29,3.648895606609495e-25,2.314162172213417e-36,1.0099886737038016e-23,4.879810948551433e-30,0.0,0.46346346346346345,2.0080742796540213e-17,7.50241360102967e-15,7.502413606969293e-15,6.981316036806833e-15,2.0080494346992238e-17
1.250147448060784e-18,0.1307866445600029,0.46346346346346345,0.0,0.0,0.0,0.07307307307305089,0.0,5.892426279263956e-23,2.786201436321461e-27,3.515527799436258e-28,1.4749419431491889e-24,1.874068523508117e-35,4.0825356971376373e-23,1.9724976053658043e-29,0.0,0.46346346346346345,4.044431570665858e-17,1.5110494992212672e-14,1.5110495016221578e-14,1.4060960447331523e-14,4.0443812529206485e-17
2.5090371859681467e-18,0.1307866445600058,0.46346346346346345,0.0,0.0,0.0,0.07307307307302854,0.0,2.3693186864650723e-22,1.120319344025605e-26,1.4135782626922063e-27,5.9306766681116565e-24,1.508413384363898e-34,1.6415696439376778e-22,7.93132610549167e-29,0.0,0.46346346346346345,8.117146983546045e-17,3.032665775329778e-14,3.0326657849836525e-14,2.822024920443562e-14,8.117044880656864e-17
5.026816661782872e-18,0.13078664456001168,0.46346346346346345,0.0,0.0,0.0,0.07307307307298387,0.0,9.50202759955421e-22,4.492981649748265e-26,5.6690810427858054e-27,2.3784665878882535e-23,1.2104067385660545e-33,6.583428448173188e-22,3.180816495836836e-28,0.0,0.46346346346346345,1.626258113273248e-16,6.075898319034435e-14,6.075898357750789e-14,5.6538826462862686e-14,1.626237210130275e-16
1.0062375613412325e-17,0.13078664456002337,0.46346346346346345,0.0,0.0,0.0,0.07307307307289453,0.0,3.805767241579328e-21,1.7995361907950585e-25,2.2705893709024374e-26,9.526272271102393e-23,9.697983179575663e-33,2.636805250090769e-21,1.273985695642757e-27,0.0,0.46346346346346345,3.255346272480954e-16,1.2162363372394292e-13,1.216236352746166e-13,1.1317597995659234e-13,3.255302640328836e-16
2.0133493516671226e-17,0.13078664456004674,0.46346346346346345,0.0,0.0,0.0,0.07307307307271584,0.0,1.523298684566239e-20,7.202834522749541e-25,9.088274624703195e-26,3.812991449554326e-22,7.764283183043749e-32,1.0554092495233266e-20,5.0992628229393964e-27,0.0,0.46346346346346345,6.513527908378028e-16,2.433529334291619e-13,2.4335293963589767e-13,2.264502828515538e-13,6.513433445003493e-16
4.0275729323189036e-17,0.13078664456009345,0.46346346346346345,0.0,0.0,0.0,0.07307307307235845,0.0,6.0951787375657e-20,2.8820720480804323e-24,3.6364935039576923e-25,1.5256931832665746e-21,6.213786031199415e-31,4.2230115579022405e-20,2.0403692891625327e-26,0.0,0.46346346346346345,1.302991245009867e-15,4.86811527391687e-13,4.868115522267146e-13,4.529988722714866e-13,1.3029694831462964e-15
8.056020093622464e-17,0.13078664456018696,0.46346346346346345,0.0,0.0,0.0,0.07307307307164368,0.0,2.4384682379086163e-19,1.15301650956615e-23,1.4548340769889468e-24,6.103765711192772e-21,4.971972533200227e-30,1.6894794696159252e-19,8.162805367239768e-26,0.0,0.46346346346346345,2.606276661324474e-15,9.737286935250874e-13,9.737287928813665e-13,9.060959856314014e-13,2.606221671282262e-15
1.6112914416229586e-16,0.1307866445603739,0.46346346346346345,0.0,0.0,0.0,0.07307307307021414,0.0,9.754665585853656e-19,4.612441572119821e-23,5.819808979396829e-24,2.4417045980378487e-20,3.9779550903782305e-29,6.758466773145237e-19,3.2653875690378825e-25,0.0,0.46346346346346345,5.212881525834648e-15,1.9475629386252975e-12,1.9475633360827316e-12,1.8122899504315028e-12,5.2127256909305575e-15
3.222670306144383e-16,0.13078664456074784,0.46346346346346345,0.0,0.0,0.0,0.07307307306735507,0.0,3.902024040376963e-18,1.8450518394572025e-22,2.3280175589411465e-23,9.767212663703649e-20,3.1825141701824073e-28,2.7034958221944763e-18,1.3062079228159854e-24,0.0,0.46346346346346345,1.0426227382371203e-14,3.895231080159414e-12,3.8952326700536345e-12,3.6246768323534002e-12,1.0425732303733227e-14
6.445428035187232e-16,0.13078664456149572,0.46346346346346345,0.0,0.0,0.0,0.07307307306163692,0.0,1.5608405967545746e-17,7.380358591041199e-22,9.312253609678754e-23,3.9069620254331616e-19,2.546070199766755e-27,1.0814196159239585e-17,5.224935954599615e-24,0.0,0.46346346346346345,2.085346360544802e-14,7.790565968562933e-12,7.79057232826753e-12,7.249446405488822e-12,2.0851739823367852e-14
1.2890943493272932e-15,0.13078664456299144,0.46346346346346345,0.0,0.0,0.0,0.07307307305020061,0.0,6.243419699451616e-17,2.9521743307821586e-21,3.7249344679412413e-22,1.562798685689324e-18,2.0368778221566223e-26,4.3257167507268143e-17,2.0899940115317305e-23,0.0,0.46346346346346345,4.171011409112776e-14,1.5581230166715114e-11,1.5581255605778855e-11,1.4498968788964951e-11,4.170373203879398e-14
2.5781974409444326e-15,0.1307866445659829,0.46346346346346345,0.0,0.0,0.0,0.073073073027328,0.0,2.497375622867304e-16,1.1808764291763027e-20,1.4899774711972968e-21,6.251210361056786e-18,1.6295079092551606e-25,1.730290927788477e-16,8.360005520419724e-23,0.0,0.46346346346346345,8.343212721668134e-14,3.116253624843197e-11,3.1162638005097116e-11,2.8997946505048655e-11,8.340762517459191e-14
3.867300532561572e-15,0.13078664456897432,0.46346346346346345,0.0,0.0,0.0,0.0730730730044554,0.0,5.306923853663909e-16,2.5093671812280125e-20,3.1662011523219073e-21,1.3283818129296495e-17,4.659374679749782e-25,3.676867005071075e-16,1.776501914396994e-22,0.0,0.46346346346346345,1.2516285249251884e-13,4.6743820015593304e-11,4.674403624867249e-11,4.3496857170574064e-11,1.2511142701565354e-13
5.1564036241787115e-15,0.13078664457196582,0.46346346346346345,0.0,0.0,0.0,0.07307307298158279,0.0,9.052983407840887e-16,4.280690143423446e-20,5.401161943894283e-21,2.2660611374254155e-17,9.827966300013475e-25,6.272296905745944e-16,3.0305026320133635e-22,0.0,0.46346346346346345,1.6690228991473007e-13,6.232508146823104e-11,6.232545033646644e-11,5.799570078585148e-11,1.66815137562297e-13
7.734609807412991e-15,0.13078664457794884,0.46346346346346345,0.0,0.0,0.0,0.07307307293583756,0.0,1.8743027159223086e-15,8.862637564938914e-20,1.1182397449041767e-20,4.6915824724934753e-17,2.6843189765571658e-24,1.2985967595141562e-15,6.274265204237062e-22,0.0,0.46346346346346345,2.504016116211657e-13,9.348755200278498e-11,9.34883156973458e-11,8.699323065454185e-11,2.502223443941606e-13
1.031281599064727e-14,0.13078664458393188,0.46346346346346345,0.0,0.0,0.0,0.07307307289009234,0.0,3.187693002476294e-15,1.5073040741669753e-19,1.9018287496224694e-20,7.979135595490106e-17,5.61648537504883e-24,2.208568028053679e-15,1.0670869604954083e-21,0.0,0.46346346346346345,3.3393297096458345e-13,1.2464994047914245e-10,1.246512393227478e-10,1.1599051395813386e-10,3.336292155065302e-13
1.2891022173881549e-14,0.13078664458991493,0.46346346346346345,0.0,0.0,0.0,0.07307307284434711,0.0,4.870066018794677e-15,2.302822097837539e-19,2.9055576111278626e-20,1.2190287109656352e-16,1.0224580869522292e-23,3.37418464730568e-15,1.6302655956122008e-21,0.0,0.46346346346346345,4.174986563214895e-13,1.5581224103621727e-10,1.558142253741667e-10,1.449875330869087e-10,4.1703572692156794e-13
1.8047434540350107e-14,0.13078664460188127,0.46346346346346345,0.0,0.0,0.0,0.07307307275285667,0.0,9.364922849416586e-15,4.428252996102471e-19,5.587251277479343e-20,2.3441352306508597e-16,2.699578001184815e-23,6.488398498654771e-15,3.1349322677584942e-21,0.0,0.46346346346346345,5.84735161059329e-13,2.1813657287138798e-10,2.1814038867454953e-10,2.0298076224013495e-10,5.838476480799607e-13
2.8360259273287225e-14,0.13078664462581455,0.46346346346346345,0.0,0.0,0.0,0.07307307256987579,0.0,2.2847348038188226e-14,1.0803632234824267e-18,1.3631021763165056e-19,5.718905288038039e-16,1.0438719269462069e-22,1.582951589549774e-14,7.64822595305367e-21,0.0,0.46346346346346345,9.196261335708957e-13,3.4278416602184074e-10,3.427934753779936e-10,3.1896400400377945e-10,9.174671107440307e-13
3.867308400622434e-14,0.13078664464974862,0.46346346346346345,0.0,0.0,0.0,0.07307307238689491,0.0,4.2325091394629436e-14,2.0014152844686543e-18,2.5251619823482907e-19,1.0594336612564001e-15,2.590605341567089e-22,2.9324349209777926e-14,1.416849415272217e-20,0.0,0.46346346346346345,1.2550748679028528e-12,4.674303305964329e-10,4.674475764095219e-10,4.349429534651994e-10,1.2510807289620445e-12
5.929873347209857e-14,0.1307866446976191,0.46346346346346345,0.0,0.0,0.0,0.07307307202093313,0.0,9.926025581589524e-14,4.693817447384753e-18,5.921939480855772e-19,2.4845546948308963e-15,9.40888980359413e-22,6.877061844921038e-14,3.3227914276603236e-20,0.0,0.46346346346346345,1.9276451074694726e-12,7.167183753936932e-10,7.167588204384039e-10,6.66887980178543e-10,1.9182904381809616e-12
1.0055003240384703e-13,0.1307866447933699,0.46346346346346345,0.0,0.0,0.0,0.07307307128900961,0.0,2.850425696375019e-13,1.3479834039076858e-17,1.7005622195848459e-18,7.1347255833977e-15,4.701540314392749e-21,1.974836413500554e-13,9.542043359241332e-20,0.0,0.46346346346346345,3.279476491830317e-12,1.2152773284096632e-09,1.2153934755020796e-09,1.1307265508935017e-09,3.2526397543215114e-12
1.8305263026734398e-13,0.13078664498490988,0.46346346346346345,0.0,0.0,0.0,0.07307306982516257,0.0,9.442054241522322e-13,4.4657098715343035e-17,5.632970373538077e-18,2.3633199640266327e-14,2.9142350802603277e-20,6.541469487202858e-13,3.160867447781752e-19,0.0,0.4634634634634634,6.009901872338049e-12,2.212326693721697e-09,2.212711447509147e-09,2.0581978076635487e-09,5.921058025996561e-12
2.655552281308409e-13,0.13078664517650132,0.46346346346346345,0.0,0.0,0.0,0.07307306836131555,0.0,1.9867742453150264e-12,9.397547000972775e-17,1.1852484808490953e-17,4.972728258659202e-14,8.568212123432546e-20,1.3764062064304916e-12,6.65112718670126e-19,0.0,0.46346346346346334,8.776010013033355e-12,3.209284677174068e-09,3.2100942951016016e-09,2.9853946071047043e-09,8.58910254056013e-12
3.4805782599433783e-13,0.13078664536814413,0.46346346346346345,0.0,0.0,0.0,0.07307306689746856,0.0,3.4126672381431602e-12,1.6143604978190255e-16,2.035846687397619e-17,8.541431135657631e-14,1.876507393424102e-19,2.3641861398882126e-12,1.1424767876949255e-18,0.0,0.4634634634634633,1.1577799878849338e-11,4.206151286892786e-09,4.207542008560119e-09,3.912317027040018e-09,1.1256773377981267e-11
