Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0
1.1197688436814473e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307286,0.0,7.066437610181714e-27,3.511520003091242e-31,5.799689696660364e-32,1.7688104580287978e-28,4.392397143926331e-41,4.895943104945064e-27,2.3654994730972678e-33,0.0,0.46346346346346345,6.418124740673711e-19,1.353461269440002e-16,1.3534612694687943e-16,1.259453474243397e-16,3.6225903851271443e-19,2.7954897749579657e-19
3.135352762308053e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307251,0.0,4.2681283164253533e-26,2.1209580818853177e-30,3.5030125766481594e-31,1.0683615166088169e-27,5.214653889084143e-40,2.957149635272093e-26,1.4287616817180212e-32,0.0,0.46346346346346345,1.7970749295181968e-18,3.789691554377454e-16,3.7896915545513594e-16,3.5264697277175906e-16,1.014325307813375e-18,7.827371369885476e-19
7.166520599561263e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307179,0.0,2.0549200568542382e-25,1.0211500169262405e-29,1.6865497635867486e-30,5.1437008113390874e-27,5.119778110386412e-39,1.423740254745936e-25,6.87887246727593e-32,0.0,0.46346346346346345,4.107599848938079e-18,8.662152124034147e-16,8.662152124871426e-16,8.06050223401029e-16,2.318457846325793e-18,1.7891134559753187e-18
1.5228856274067684e-19,0.13078664456000036,0.46346346346346345,0.0,0.0,0.0,0.07307307307307036,0.0,8.97437576300253e-25,4.4596304042080386e-29,7.36560591267029e-30,2.2463892810676272e-26,4.5283857582966343e-38,6.2178477415019865e-25,3.00418433032624e-31,0.0,0.46346346346346345,8.728649721850763e-18,1.840707326247469e-15,1.840707326613131e-15,1.7128567243972945e-15,4.92672292299502e-18,3.8018660939539364e-18
3.1353527623080525e-19,0.13078664456000072,0.46346346346346345,0.0,0.0,0.0,0.0730730730730675,0.0,3.7466252191829196e-24,1.8618079058929137e-28,3.074995475289722e-29,9.37823304280817e-26,3.806381084384846e-37,2.5958290326414525e-24,1.2541878201796099e-30,0.0,0.46346346346346345,1.797074960396782e-17,3.789691553586439e-15,3.789691555113007e-15,3.526469725340727e-15,1.0143253074911025e-17,7.827371369931474e-18
6.360287032110621e-19,0.13078664456000147,0.46346346346346345,0.0,0.0,0.0,0.07307307307306177,0.0,1.5306186506464726e-23,7.606092789645728e-28,1.2562359854639962e-28,3.8313141997161256e-25,3.1207011829121186e-36,1.0604808589484978e-23,5.1237664748420504e-30,0.0,0.46346346346346345,3.6454949913368665e-17,7.687660006867831e-15,7.687660013104357e-15,7.153695723031197e-15,2.0576313373053258e-17,1.5878381921967753e-17
1.2810155571715758e-18,0.13078664456000297,0.46346346346346345,0.0,0.0,0.0,0.0730730730730503,0.0,6.187005304632972e-23,3.074504317435045e-27,5.077906701440716e-28,1.5486784549639213e-24,2.527224724445931e-35,4.286633182502285e-23,2.0711083294916346e-29,0.0,0.46346346346346345,7.34233527128373e-17,1.5483596907844408e-14,1.548359693305344e-14,1.4408147701626566e-14,4.144243394657858e-17,3.198040302636513e-17
2.570989265092603e-18,0.13078664456000597,0.46346346346346345,0.0,0.0,0.0,0.07307307307302738,0.0,2.4877676166114926e-22,1.2362446646027405e-26,2.041803945849868e-27,6.227167937932458e-24,2.034130316796329e-34,1.723636344827558e-22,8.327835489226691e-29,0.0,0.46346346346346345,1.4736016703444236e-16,3.107547068745276e-14,3.107547078881716e-14,2.891705159167499e-14,8.317467500259268e-17,6.418444523645912e-17
5.150936680934658e-18,0.130786644560012,0.46346346346346345,0.0,0.0,0.0,0.07307307307298154,0.0,9.97706078422218e-22,4.957894034799199e-26,8.188546999045544e-27,2.497372847070866e-23,1.632261466120267e-33,6.912552621388824e-22,3.3398344922941044e-28,0.0,0.46346346346346345,2.952338305683236e-16,6.22592181572902e-14,6.225921856380678e-14,5.793485910320262e-14,1.6663915675047477e-16,1.2859252966184422e-16
1.0310831512618768e-17,0.13078664456002395,0.46346346346346345,0.0,0.0,0.0,0.07307307307288986,0.0,3.996028289198651e-21,1.985743642364345e-25,3.279689888651146e-26,1.0002517512284532e-22,1.307795448831499e-32,2.768626587566031e-21,1.3376758369825441e-27,0.0,0.46346346346346345,5.909812971987705e-16,1.2462671273944818e-13,1.246267143676348e-13,1.1597047305198106e-13,3.3356811878965457e-16,2.5740869853340277e-16
2.0630621175986988e-17,0.13078664456004796,0.46346346346346345,0.0,0.0,0.0,0.0730730730727065,0.0,1.5994526852797305e-20,7.948149603945225e-25,1.3127306397724725e-25,4.0036136532727725e-22,1.0470315340152144e-31,1.1081721364897953e-20,5.354189364876811e-27,0.0,0.46346346346346345,1.182476788710399e-15,2.493617004736963e-13,2.493617069906859e-13,2.3204169665243077e-13,6.674260370416765e-16,5.150410363596734e-16
4.1270200502723427e-17,0.1307866445600959,0.46346346346346345,0.0,0.0,0.0,0.07307307307233978,0.0,6.399893921240672e-20,3.180295165780711e-24,5.252632249539817e-25,1.6019668897673523e-21,8.379434083845851e-31,4.4341318193616664e-20,2.1423731078798284e-26,0.0,0.46346346346346345,2.3654700047365794e-15,4.988316702219216e-13,4.988316962983684e-13,4.641841266649025e-13,1.335141850240371e-15,1.0303057123448286e-15
8.254935915619631e-17,0.13078664456019182,0.46346346346346345,0.0,0.0,0.0,0.07307307307160632,0.0,2.5603741417510736e-19,1.2723251785194717e-23,2.1013947543448967e-24,6.408910166217017e-21,6.704819866618467e-30,1.7739413109243025e-19,8.570887032782082e-26,0.0,0.46346346346346345,4.731465368800502e-15,9.977715868372894e-13,9.977716911600523e-13,9.284689179361465e-13,2.6705733834163737e-15,2.060835065645599e-15
1.6510767646314207e-16,0.1307866445603837,0.46346346346346345,0.0,0.0,0.0,0.07307307307013942,0.0,1.0242328795851252e-18,5.089715110948174e-23,8.406261716927958e-24,2.5637722840952573e-20,5.364364352032941e-29,7.096341550168384e-19,3.4286334961977297e-25,0.0,0.46346346346346345,9.46349182497354e-15,1.9956513285437018e-12,1.9956517458686877e-12,1.857038225463917e-12,5.341436076882918e-15,4.121893777569007e-15
3.3022431107703355e-16,0.13078664456076736,0.46346346346346345,0.0,0.0,0.0,0.07307307306720563,0.0,4.097097188429526e-18,2.0359690410702856e-22,3.3626403849715143e-23,1.0255503037024697e-19,4.291693859228377e-28,2.83865116466336e-18,1.3715089314529029e-24,0.0,0.46346346346346345,1.892768764949195e-14,3.9914104458593016e-12,3.991412115226946e-12,3.7141757404612385e-12,1.0683159972274853e-14,8.244011222703526e-15
6.604575803048166e-16,0.13078664456153477,0.46346346346346345,0.0,0.0,0.0,0.07307307306133805,0.0,1.6388713846909103e-17,8.144043075550589e-22,1.3450826168517646e-22,4.1022819568816723e-19,3.43343441376248e-27,1.1354827985477876e-17,5.4861451487062914e-24,0.0,0.46346346346346345,3.785665094715063e-14,7.982927216102135e-12,7.98293389370676e-12,7.428446370228224e-12,2.136660179689956e-14,1.648824619812518e-14
1.3209241187603826e-15,0.1307866445630696,0.46346346346346345,0.0,0.0,0.0,0.07307307304960288,0.0,6.555545555667552e-17,3.2576513447184565e-21,5.38037797552044e-22,1.6409272996850104e-18,2.7467766590631086e-26,4.5419712467933645e-17,2.1944786282306454e-23,0.0,0.46346346346346345,7.571686413641563e-14,1.5965954899038644e-11,1.5965981609714413e-11,1.4856970028893286e-11,4.2733461581556066e-14,3.297671648959354e-14
2.6418571956715147e-15,0.13078664456613923,0.46346346346346345,0.0,0.0,0.0,0.07307307302613253,0.0,2.6222262238615457e-16,1.3030679463746898e-20,2.152156357419557e-21,6.5637251797660415e-18,2.1974288138822e-25,1.8167928187561036e-16,8.777945122420857e-23,0.0,0.46346346346346345,1.5144643688641774e-13,3.1931986834749395e-11,3.193209367788038e-11,2.971394694308163e-11,8.546708569284717e-14,6.595365843514703e-14
3.962790272582647e-15,0.13078664456920888,0.46346346346346345,0.0,0.0,0.0,0.07307307300266218,0.0,5.572231224658738e-16,2.7690246761803723e-20,4.573330623419727e-21,1.394791131063843e-17,6.283273470086998e-25,3.8606832880704173e-16,1.865314067195099e-22,0.0,0.46346346346346345,2.2718515600357348e-13,4.7897995340332254e-11,4.7898222382155555e-11,4.457085345446203e-11,1.2820061434646622e-13,9.893060174343383e-14
5.283723349493779e-15,0.1307866445722785,0.46346346346346345,0.0,0.0,0.0,0.07307307297919183,0.0,9.505566056376913e-16,4.72363583732036e-20,7.801556813571129e-21,2.37934742710601e-17,1.325323722355965e-24,6.585865303447483e-16,3.1820056064727703e-22,0.0,0.46346346346346345,3.0293302148356447e-13,6.38639804158216e-11,6.386436772249848e-11,5.942768956336833e-11,1.7093404754276295e-13,1.3190754641457045e-13
7.925589503316043e-15,0.1307866445784179,0.46346346346346345,0.0,0.0,0.0,0.07307307293225113,0.0,1.96800397671308e-15,9.779701788500554e-20,1.6152098951444035e-20,4.9261265485389294e-17,3.619865310600858e-24,1.363516886411157e-15,6.587932321236803e-22,0.0,0.46346346346346345,4.544502183837437e-13,9.579589557791193e-11,9.579669744688829e-11,8.91411965519201e-11,2.564006899039505e-13,1.9786143895573047e-13
1.0567455657138306e-14,0.1307866445845573,0.46346346346346345,0.0,0.0,0.0,0.07307307288531042,0.0,3.3470538889858545e-15,1.6632728637777057e-19,2.7470427507363843e-20,8.378032229261148e-17,7.573958159408389e-24,2.3189797602174804e-15,1.1204334171318808e-21,0.0,0.46346346346346345,6.060010496863094e-13,1.2772772457947749e-10,1.2772908834768836e-10,1.1885444464823825e-10,3.4186698123742413e-13,2.638153365095435e-13
