Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1461199511759142e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307287,0.0,7.402934639232729e-27,3.678735241334449e-31,6.075865396495623e-32,1.8530395274570252e-28,4.727471356197282e-41,5.148277818884754e-27,2.478142305148135e-33,0.0,0.46346346346346345,6.569160104879451e-19,1.3853117746593666e-16,1.3853117746895296e-16,1.2890917286652576e-16,3.7078394695106847e-19,2.861275005329716e-19,1.9194566090012473e-29
3.2091358632925596e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.0730730730730725,0.0,4.4713725219631736e-26,2.2219560857855303e-30,3.6698226993389192e-31,1.119235874540533e-27,5.6124539938729225e-40,3.109559802482626e-26,1.4967979522743798e-32,0.0,0.46346346346346345,1.839364831597211e-18,3.8788729689890754e-16,3.8788729691712613e-16,3.609456840090993e-16,1.0381950514397077e-18,8.011570014304622e-19,1.1593517917620585e-28
7.33516768752585e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307176,0.0,2.152773392888786e-25,1.0697762082093387e-29,1.7668616570842362e-30,5.388638945192381e-27,5.510340612149623e-39,1.4971191895460395e-25,7.206437822844371e-32,0.0,0.46346346346346345,4.204262482739602e-18,8.865995357419891e-16,8.865995358297039e-16,8.250187062255555e-16,2.3730172603238497e-18,1.8312160029780114e-18,5.581779817855209e-28
1.5587231335992431e-19,0.13078664456000036,0.46346346346346345,0.0,0.0,0.0,0.07307307307307029,0.0,9.401726989757954e-25,4.671993756797303e-29,7.716349051310135e-30,2.35336019919602e-26,4.873833868053897e-38,6.538312828065293e-25,3.147240726994178e-31,0.0,0.46346346346346345,8.934057820719828e-18,1.884024013336711e-15,1.884024013719786e-15,1.7531647503837041e-15,5.042661677719589e-18,3.8913340050833794e-18,2.4377098922738178e-27
3.2091358632925597e-19,0.13078664456000072,0.46346346346346345,0.0,0.0,0.0,0.07307307307306736,0.0,3.925035943860342e-24,1.9504654252278152e-28,3.221423831206532e-29,9.824815568507534e-26,4.0967510353235885e-37,2.729616897846187e-24,1.313911049699983e-30,0.0,0.46346346346346345,1.8393648639462044e-17,3.878872968160394e-15,3.878872969759653e-15,3.609456837600945e-15,1.0381950511020885e-17,8.011570005335201e-18,1.0176958930504719e-26
6.509961322679192e-19,0.13078664456000152,0.46346346346346345,0.0,0.0,0.0,0.07307307307306149,0.0,1.6035052530208457e-23,7.968287684445426e-28,1.3160567466360955e-28,4.0137577329140755e-25,3.35876401190465e-36,1.1151375672199362e-23,5.3677553544981386e-30,0.0,0.46346346346346345,3.7312830848073524e-17,7.868570876344703e-15,7.868570882878205e-15,7.322041007639207e-15,2.1060528171662754e-17,1.6252041990003167e-17,4.157619784538887e-26
1.3111612241452457e-18,0.13078664456000302,0.46346346346346345,0.0,0.0,0.0,0.07307307307304976,0.0,6.481624604551014e-23,3.2209092849762223e-27,5.319711782133967e-28,1.6224250479587511e-24,2.720014175234894e-35,4.507564335744612e-23,2.1697325355783018e-29,0.0,0.46346346346346345,7.515119754980473e-17,1.584796668686111e-14,1.584796671327057e-14,1.474720933013084e-14,4.2417683469103585e-17,3.2732985895996434e-17,1.6805763878408751e-25
2.631491407899899e-18,0.13078664456000608,0.46346346346346345,0.0,0.0,0.0,0.07307307307302631,0.0,2.6062327409685013e-22,1.2951134581908856e-26,2.1390327049122687e-27,6.523699743706328e-24,2.1893040385715287e-34,1.812471789496614e-22,8.724399083311075e-29,0.0,0.46346346346346345,1.5082794009130008e-16,3.1806758284485074e-14,3.180675839067635e-14,2.959754590477455e-14,8.513199396861365e-17,6.569487345461225e-17,6.757523711391337e-25
5.2721517754092055e-18,0.13078664456001227,0.46346346346346345,0.0,0.0,0.0,0.07307307307297939,0.0,1.0452158914849954e-21,5.193984227218436e-26,8.578477806407225e-27,2.6162953629606424e-23,1.7567786045060026e-33,7.26882248425459e-22,3.4988742295082783e-28,0.0,0.46346346346346345,3.0218146172642243e-16,6.372434138609762e-14,6.37243418119721e-14,5.929821877270375e-14,1.7056061458614737e-16,1.3161864755836102e-16,2.7100692220952408e-24
