Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1718786719141509e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307286,0.0,7.739431668283386e-27,3.8459504795777068e-31,6.352041096330494e-32,1.937268596885137e-28,5.053434476138391e-41,5.3822904470108906e-27,2.5907851371989094e-33,0.0,0.46346346346346345,6.716800114665594e-19,1.416446263769137e-16,1.416446263800671e-16,1.3180636995389823e-16,3.7911721096391926e-19,2.925581349300901e-19,2.0067046366474e-29,3.27118873403997e-40
3.2812602813596224e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307248,0.0,4.674616727500573e-26,2.322954089685804e-30,3.8366328220292223e-31,1.1701102324721126e-27,5.999437409847996e-40,3.25090342986228e-26,1.5648342228306273e-32,0.0,0.46346346346346345,1.8807040344387392e-18,3.9660495384938343e-16,3.9660495386843013e-16,3.6905783585296164e-16,1.0615281906746312e-18,8.191627777395824e-19,1.2120496004361073e-28,3.883551390325444e-39
7.500023500250566e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307173,0.0,2.2506267289229206e-25,1.1184023994924975e-29,1.8471735505812765e-30,5.633577079044331e-27,5.890283224694043e-39,1.5651700617923205e-25,7.534003178411723e-32,0.0,0.46346346346346345,4.298752089712589e-18,9.065256087704236e-16,9.065256088621259e-16,8.435607675792754e-16,2.4263501499986854e-18,1.872372063099888e-18,5.835497081886805e-28,3.8128855767690616e-38
1.5937549938032452e-19,0.13078664456000036,0.46346346346346345,0.0,0.0,0.0,0.07307307307307023,0.0,9.829078216509723e-25,4.884357109387103e-29,8.067092189946019e-30,2.4603311173232214e-26,5.209888806064611e-38,6.835508865653216e-25,3.2902971236611542e-31,0.0,0.46346346346346345,9.134848237578248e-18,1.926366918516907e-15,1.926366918917394e-15,1.7925666307446493e-15,5.155994068257315e-18,3.978790632785782e-18,2.5485148870089038e-27,3.372439512932964e-37
3.2812602813596225e-19,0.13078664456000078,0.46346346346346345,0.0,0.0,0.0,0.07307307307306724,0.0,4.103446668534693e-24,2.0391229445631655e-28,3.3678521871200124e-29,1.0271398094196875e-25,4.379225459430073e-37,2.853690393159621e-24,1.3736342792195474e-30,0.0,0.46346346346346345,1.8807040682581414e-17,3.966049537627485e-15,3.96604953929944e-15,3.690578355926384e-15,1.0615281903216659e-17,8.191627768018702e-18,1.0639547969704889e-26,2.834714054172534e-36
6.656270856472377e-19,0.13078664456000155,0.46346346346346345,0.0,0.0,0.0,0.07307307307306124,0.0,1.6763918553927007e-23,8.33048257924881e-28,1.3758775078054678e-28,4.196201266103808e-25,3.590353610975366e-36,1.1658256384217792e-23,5.6117442341475986e-30,0.0,0.46346346346346345,3.8151426169675135e-17,8.045414774319086e-15,8.045414781149566e-15,7.486601801693807e-15,2.153385756690368e-17,1.661730202192907e-17,4.3466024994800915e-26,2.3240295706574088e-35
1.3406292006697885e-18,0.1307866445600031,0.46346346346346345,0.0,0.0,0.0,0.07307307307304925,0.0,6.77624390444866e-23,3.367314252520384e-27,5.5615168628051265e-28,1.6961716409469266e-24,2.9075614366080653e-35,4.7124536234461106e-23,2.2683567416596017e-29,0.0,0.46346346346346345,7.684019953221206e-17,1.6204145241584062e-14,1.6204145269193954e-14,1.5078648674844445e-14,4.3371008869351056e-17,3.3468650463527914e-17,1.7569662215966836e-25,1.8819941675860886e-34
2.6906334307148906e-18,0.13078664456000622,0.46346346346346345,0.0,0.0,0.0,0.07307307307302527,0.0,2.7246978653090944e-22,1.3539822517814334e-26,2.2362614639568873e-27,6.820231549426637e-24,2.340258390252311e-34,1.894856870606453e-22,9.120962677352259e-29,0.0,0.46346346346346345,1.54217755810684e-16,3.2521606151641146e-14,3.252160626265929e-14,3.0262742347608914e-14,8.704531137453912e-17,6.717134708183804e-17,7.064683863550436e-25,1.5146876350404529e-33
5.3906418908050946e-18,0.13078664456001254,0.46346346346346345,0.0,0.0,0.0,0.0730730730729773,0.0,1.0927257045345994e-21,5.43007441965695e-26,8.96840861362622e-27,2.735217878807438e-23,1.8779099641297864e-33,7.599223504413207e-22,3.6579139666877874e-28,0.0,0.46346346346346345,3.0897290658122e-16,6.515652787386373e-14,6.515652831909616e-14,6.06309293989906e-14,1.7439391598608853e-16,1.345767392589081e-16,2.8332541734649034e-24,1.2152729560129336e-32
