Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2459637471847475e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307284,0.0,8.74892275543331e-27,4.347596194307786e-31,7.180568195832882e-32,2.1899558051684798e-28,6.073721956410866e-41,6.084328331387404e-27,2.928713633350692e-33,0.0,0.46346346346346345,7.141429945863715e-19,1.5059926738042595e-16,1.5059926738399066e-16,1.4013904557362957e-16,4.0308464699906074e-19,3.1105338701138803e-19,2.268448719676243e-29,3.931640783724359e-40,6.649247859166377e-48,5.510051735461223e-59,3.2317230967954947e-41
3.4886984921172934e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307244,0.0,5.284349344110339e-26,2.625948101386986e-30,4.3370631900974935e-31,1.322733306265673e-27,7.210722706365371e-40,3.6749343119989827e-26,1.76894303449873e-32,0.0,0.46346346346346345,1.999600387478435e-18,4.216779486584385e-16,4.216779486799696e-16,3.923893275858678e-16,1.1286370115698523e-18,8.709494835587816e-19,1.3701430265655556e-28,4.667638917191055e-39,1.4874086205325791e-46,2.2737329992129046e-57,3.8367015996807096e-40
7.974167981982384e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307165,0.0,2.5441867370229356e-25,1.2642809733423238e-29,2.088109231069805e-30,6.36839148058861e-27,7.079530311507105e-39,1.769322678528944e-25,8.516699245107497e-32,0.0,0.46346346346346345,4.5705151838089436e-18,9.638353111874468e-16,9.6383531129111e-16,8.96889891529164e-16,2.5797417406013654e-18,1.990741676361149e-18,6.5966488750350945e-28,4.5827049316801387e-38,2.938862174603322e-45,8.994615483181269e-56,3.7668962530366415e-39
1.6945106961712567e-19,0.13078664456000041,0.46346346346346345,0.0,0.0,0.0,0.07307307307307005,0.0,1.1111131896743894e-24,5.5214471671596e-29,9.119321605830765e-30,2.781243871694596e-26,6.261764386321993e-38,7.72709697839737e-25,3.7194663136565207e-31,0.0,0.46346346346346345,9.71234481865548e-18,2.048150036137397e-15,2.0481500365901215e-15,1.9058910190910347e-15,5.48195119822411e-18,4.230326060796202e-18,2.8809298721459624e-27,4.0533316942953925e-37,5.229524586206357e-44,3.210081326618618e-54,3.3317768478371164e-38
3.488698492117293e-19,0.13078664456000083,0.46346346346346345,0.0,0.0,0.0,0.07307307307306686,0.0,4.638678842539972e-24,2.3050955025718183e-28,3.807137254841204e-29,1.1611145671178916e-25,5.26339026450095e-37,3.225910879083432e-24,1.5528039677735655e-30,0.0,0.46346346346346345,1.999600425709064e-17,4.216779485605033e-15,4.216779487495068e-15,3.923893272915893e-15,1.1286370111708477e-17,8.70949482498759e-18,1.2027315095137677e-26,3.407037691918904e-36,8.82027783101624e-43,1.0845915899403425e-52,2.800558809592577e-37
7.077074084009365e-19,0.13078664456000164,0.46346346346346345,0.0,0.0,0.0,0.07307307307306049,0.0,1.8950516624936928e-23,9.41706726368029e-28,1.555339791297797e-28,4.7435318656025085e-25,4.315245336514332e-36,1.3178898520137871e-23,6.343710873057643e-30,0.0,0.46346346346346345,4.05633238089293e-17,8.554038382811239e-15,8.55403839053265e-15,7.959897775370075e-15,2.289520793163272e-17,1.7667832334655483e-17,4.9135506507249676e-26,2.7932431495237556e-35,1.4487070843102642e-41,3.565752964038329e-51,2.2960666823421022e-36
1.4253825267793512e-18,0.1307866445600033,0.46346346346346345,0.0,0.0,0.0,0.07307307307304774,0.0,7.660101804023579e-23,3.8065291551701414e-27,6.286932104690769e-28,1.917411419854363e-24,3.494597548990925e-35,5.327121486441103e-23,2.5642293598724526e-29,0.0,0.46346346346346345,8.169796561247997e-17,1.7228556170307402e-14,1.7228556201518583e-14,1.6031906759496296e-14,4.6112883543303224e-17,3.558450727913174e-17,1.9861357280640376e-25,2.2619561872569285e-34,2.3483316799339573e-40,1.156448148598606e-49,1.859413304620469e-35
2.86073276353618e-18,0.13078664456000666,0.46346346346346345,0.0,0.0,0.0,0.07307307307302223,0.0,3.0800932382358766e-22,1.530588632566976e-26,2.5279477409878484e-27,7.70982696612805e-24,2.8127561228021683e-34,2.142012113847831e-22,1.0310653459225896e-28,0.0,0.46346346346346345,1.639672600190748e-16,3.457759171763473e-14,3.457759184313351e-14,3.2175924644620166e-14,9.254823465393233e-17,7.141785686864613e-17,7.986164361878422e-25,1.8204830571073225e-33,3.7816422407172546e-39,3.7250379665238905e-48,1.4966159439800484e-34
5.731433237049839e-18,0.13078664456001335,0.46346346346346345,0.0,0.0,0.0,0.07307307307297123,0.0,1.235255143607183e-21,6.138344997084032e-26,1.0138201034457549e-26,3.091985425979093e-23,2.2570596349315744e-33,8.590426564181798e-22,4.135033178025766e-28,0.0,0.46346346346346345,3.285058920302382e-16,6.927566270162938e-14,6.927566320493559e-14,6.446396008235365e-14,1.85418936424343e-16,1.430845548499225e-16,3.2028090611518478e-24,1.460604678177078e-32,6.06949532282876e-38,1.1956375657228465e-46,1.2009373952243184e-33
