Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2696985226826297e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307283,0.0,9.085419784482624e-27,4.514811432551243e-31,7.456743895666294e-32,2.274184874596134e-28,6.427476998359073e-41,6.318340959512295e-27,3.041356465401111e-33,0.0,0.46346346346346345,7.277469406946541e-19,1.5346808263243139e-16,1.5346808263613327e-16,1.4280860060084565e-16,4.107631397518211e-19,3.1697874585485907e-19,2.3556967473519484e-29,4.160633347874999e-40,7.17056446300734e-48,6.055244637867136e-59,3.4199500753761336e-41,1.180531131453886e-42
3.5551558635113635e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307244,0.0,5.487593549646143e-26,2.726946105287495e-30,4.503873312786069e-31,1.3736076641967101e-27,7.630700692143891e-40,3.816277939377157e-26,1.836979305054558e-32,0.0,0.46346346346346345,2.037691436683034e-18,4.2971063136379404e-16,4.2971063138615327e-16,3.998640816612923e-16,1.1501367912765234e-18,8.875404883176887e-19,1.422840835274689e-28,4.9394984956732176e-39,1.6040249083006003e-46,2.4987077442595722e-57,4.060164663882047e-40,1.401526559148754e-41
8.12607054516883e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307162,0.0,2.6420400730555036e-25,1.312907164625712e-29,2.1684211245651467e-30,6.613329614435227e-27,7.49186718833252e-39,1.8373735507737712e-25,8.84426460067073e-32,0.0,0.46346346346346345,4.657580439611804e-18,9.821957287984635e-16,9.821957289061138e-16,9.13975043697883e-16,2.6288840942116234e-18,2.028663972939681e-18,6.850366139411146e-28,4.849617444057425e-38,3.169275653702339e-45,9.884587669572762e-56,3.9862936044844756e-39,1.376027086471422e-40
1.7267899908483764e-19,0.13078664456000041,0.46346346346346345,0.0,0.0,0.0,0.07307307307307,0.0,1.1538483123481807e-24,5.733810519751431e-29,9.470064744451635e-30,2.888214789817081e-26,6.626471684223143e-38,8.024293015972436e-25,3.8625227103198515e-31,0.0,0.46346346346346345,9.897358489277387e-18,2.08716592355558e-15,2.087165924025717e-15,1.942196967433854e-15,5.586378699624609e-18,4.3109109409689976e-18,2.9917348671857115e-27,4.289411305413693e-37,5.63953072317939e-44,3.527702116414392e-54,3.525831302624519e-38,1.2170803745461202e-39
3.5551558635113635e-19,0.13078664456000083,0.46346346346346345,0.0,0.0,0.0,0.07307307307306675,0.0,4.817089567202673e-24,2.3937530219088753e-28,3.9535656107420657e-29,1.2057728196828622e-25,5.569948723508114e-37,3.349984374386056e-24,1.612527197290065e-30,0.0,0.46346346346346345,2.037691476384072e-17,4.297106312620922e-15,4.297106314583652e-15,3.9986408135569546e-15,1.1501367908621722e-17,8.87540487216896e-18,1.2489904136898694e-26,3.6054743344989866e-36,9.511805218235039e-43,1.1919057982765538e-52,2.9636732412651705e-37,1.0230293886816583e-38
7.211887608837337e-19,0.1307866445600017,0.46346346346346345,0.0,0.0,0.0,0.07307307307306025,0.0,1.9679382648559954e-23,9.779262158497662e-28,1.6151605524568215e-28,4.92597539875974e-25,4.566580482457586e-36,1.368577923206767e-23,6.587699752681974e-30,0.0,0.46346346346346345,4.1336028013896045e-17,8.71698708895604e-15,8.716987096974429e-15,8.111528500407793e-15,2.333134631930051e-17,1.8004392715134196e-17,5.102533367765671e-26,2.955929406003229e-35,1.5622880731753251e-41,3.9185609934024725e-51,2.429797698804647e-36,8.387413004957126e-38
1.4525351099489285e-18,0.13078664456000336,0.46346346346346345,0.0,0.0,0.0,0.07307307307304726,0.0,7.954721103843864e-23,3.952934122725627e-27,6.528737185278134e-28,1.991158012816219e-24,3.698135266102442e-35,5.532010774070824e-23,2.6628535659334003e-29,0.0,0.46346346346346345,8.325425731772133e-17,1.7556748634444016e-14,1.7556748666855625e-14,1.6337303852528016e-14,4.699130311139636e-17,3.626236832332594e-17,2.0625255635200164e-25,2.3936971081247247e-34,2.5324429539175842e-40,1.2708691657290138e-49,1.9677120686559376e-35,6.792344490705255e-37
2.915227808079318e-18,0.13078664456000677,0.46346346346346345,0.0,0.0,0.0,0.07307307307302127,0.0,3.198558362514201e-22,1.589457426166636e-26,2.6251764999650213e-27,8.006358771636513e-24,2.9765809843077656e-34,2.224397194899896e-22,1.0707217053103263e-28,0.0,0.46346346346346345,1.670907271402305e-16,3.5236271696690926e-14,3.523627182701658e-14,3.278885447044264e-14,9.431121657854107e-17,7.277831922875445e-17,8.29332452772102e-25,1.9265089439590642e-33,4.0781207078871745e-39,4.09358693885164e-48,1.5837840817793363e-34,5.4670697360274516e-36
5.840613204340097e-18,0.13078664456001357,0.46346346346346345,0.0,0.0,0.0,0.0730730730729693,0.0,1.2827649566068193e-21,6.374435189595665e-26,1.0528131841135332e-26,3.2109079416558934e-23,2.388518767986346e-33,8.920827583876808e-22,4.294072915073818e-28,0.0,0.46346346346346345,3.347637116446832e-16,7.059531770626858e-14,7.059531822893273e-14,6.569195536096862e-14,1.8895104304464266e-16,1.4581021979579165e-16,3.325994023500139e-24,1.545666659827405e-32,6.545322058511961e-38,1.3139236847967408e-46,1.2708841286795627e-33,4.3869791098564035e-35
