Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2929976866592792e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307284,0.0,9.421916813531627e-27,4.6820266707947465e-31,7.732919595499367e-32,2.358413944023686e-28,6.787845238116989e-41,6.552353587636895e-27,3.1539992974514495e-33,0.0,0.46346346346346345,7.411012094615231e-19,1.5628424564948284e-16,1.562842456533218e-16,1.4542916047634326e-16,4.1830070680215627e-19,3.2279535479335374e-19,2.442944775027544e-29,4.39390675729464e-40,7.711553375997531e-48,6.631584974095557e-59,3.6116958227779707e-41,1.2467197659545917e-42,1.345064039667164e-54
3.6203935226459816e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307241,0.0,5.690837755181571e-26,2.8279441091880595e-30,4.670683435474232e-31,1.4244820221276228e-27,8.058529866361251e-40,3.95762156675498e-26,1.905015575610287e-32,0.0,0.46346346346346345,2.075083389331675e-18,4.3759588781127825e-16,4.375958878344656e-16,4.072016493119048e-16,1.1712419790164034e-18,9.03826993342662e-19,1.4755386439836904e-28,5.216440278803229e-39,1.7250418042953627e-46,2.736535516442176e-57,4.287805210247919e-40,1.4801057060180317e-41,3.008854438376422e-53
8.275185194619388e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307158,0.0,2.739893409087699e-25,1.361533355909155e-29,2.248733018060085e-30,6.858267748280627e-27,7.911912408522304e-39,1.9054244230182525e-25,9.171829956232986e-32,0.0,0.46346346346346345,4.743047760429617e-18,1.0002191721057743e-15,1.0002191722174113e-15,9.307466268956032e-16,2.6771245233263602e-18,2.0658902701263643e-18,7.104083403785903e-28,5.121519663628375e-38,3.4083839557278275e-45,1.0825404727785745e-55,4.209792432312341e-39,1.4531765588145676e-40,5.944989266583295e-52
1.75847685385662e-19,0.13078664456000041,0.46346346346346345,0.0,0.0,0.0,0.07307307307306993,0.0,1.1965834350216426e-24,5.946173872343741e-29,9.820807883068932e-30,2.995185707938489e-26,6.997996924532681e-38,8.321489053544441e-25,4.005579106982315e-31,0.0,0.46346346346346345,1.0078976548056066e-17,2.125465740578387e-15,2.125465741065936e-15,1.9778365817133002e-15,5.6888896114721245e-18,4.390016822434114e-18,3.102539862224317e-27,4.5299042000623964e-37,6.06500869940878e-44,3.8634687751872227e-54,3.72351346614412e-38,1.2853182091061278e-39,1.0578790516106936e-50
3.620393522645982e-19,0.13078664456000083,0.46346346346346345,0.0,0.0,0.0,0.07307307307306662,0.0,4.995500291862601e-24,2.4824105412463363e-28,4.0999939666399225e-29,1.2504310722469259e-25,5.8822380739160225e-37,3.474057869686108e-24,1.672250426805836e-30,0.0,0.46346346346346345,2.0750834305031208e-17,4.375958877058095e-15,4.375958879093518e-15,4.0720164899498956e-15,1.1712419785867057e-17,9.03826992201099e-18,1.2952493178650098e-26,3.807620513642523e-36,1.0229427672984277e-42,1.305350879728159e-52,3.1298369795721105e-37,1.0803874002041812e-38,1.7842675609755957e-49
7.344226860224706e-19,0.13078664456000172,0.46346346346346345,0.0,0.0,0.0,0.07307307307306,0.0,2.040824867216024e-23,1.0141457053318354e-27,1.674981313613383e-28,5.108418931909534e-25,4.8226141594082594e-36,1.419265994397638e-23,6.831688632300324e-30,0.0,0.46346346346346345,4.209455054587048e-17,8.876945148155446e-15,8.876945156470812e-15,8.260376300827893e-15,2.375948012707055e-17,1.8334776101010254e-17,5.291516084798487e-26,3.121656810265232e-35,1.6801550366308283e-41,4.2915246383842846e-51,2.5660287192063767e-36,8.857668636634321e-38,2.9306645559587e-48
1.4791893535382153e-18,0.1307866445600034,0.46346346346346345,0.0,0.0,0.0,0.07307307307304677,0.0,8.249340403645738e-23,4.099339090283806e-27,6.770542265845554e-28,2.064904605772052e-24,3.90547797542718e-35,5.736900061683462e-23,2.7614777719895046e-29,0.0,0.46346346346346345,8.478198593510494e-17,1.7878917682901873e-14,1.787891771651391e-14,1.6637095900203123e-14,4.785360077913202e-17,3.692778837839082e-17,2.138915398969607e-25,2.5279005792385817e-34,2.7235014973311617e-40,1.3918267303630887e-49,2.0780353976679e-35,7.173169691761091e-37,4.750732658267287e-47
2.9687226885697053e-18,0.13078664456000688,0.46346346346346345,0.0,0.0,0.0,0.0730730730730203,0.0,3.317023486777705e-22,1.6483262197684635e-26,2.7224052589261435e-27,8.302890577096496e-24,3.1434684345505e-34,2.306782275938212e-22,1.110378064694164e-28,0.0,0.46346346346346345,1.7015686834379758e-16,3.588286272260165e-14,3.5882862857754176e-14,3.339053500943051e-14,9.604184196187292e-17,7.411381261068013e-17,8.600484693512205e-25,2.0345165030023733e-33,4.385785992269953e-39,4.483188613327248e-48,1.6725817607265516e-34,5.773590986181446e-36,7.650905661702533e-46
5.947789358632685e-18,0.13078664456001382,0.46346346346346345,0.0,0.0,0.0,0.07307307307296737,0.0,1.330274769594565e-21,6.610525382124694e-26,1.091806264768432e-26,3.329830457293796e-23,2.522435435590812e-33,9.251228603461496e-22,4.453112652090587e-28,0.0,0.46346346346346345,3.409066796820777e-16,7.18907526828289e-14,7.189075322485099e-14,6.6897412869793e-14,1.924183238418266e-16,1.4848585978537156e-16,3.4491789858071815e-24,1.6323181629416673e-32,7.039101151605741e-38,1.438965754746644e-46,1.3421384584520398e-33,4.6329431047388377e-35,1.228138892949475e-44
