Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3158843782453082e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307283,0.0,9.758413842554943e-27,4.8492419090382945e-31,8.009095295346241e-32,2.442643013618183e-28,7.154707470094853e-41,6.786366215735836e-27,3.2666421294960264e-33,0.0,0.46346346346346345,7.542190634301669e-19,1.5905055325141216e-16,1.5905055325538827e-16,1.4800332775978354e-16,4.257048339443486e-19,3.2850899048366946e-19,2.530192802702918e-29,4.6313838477620855e-40,8.272214597297379e-48,7.239644365308894e-59,3.8068969120282794e-41,1.3141011484070311e-42,1.4428556852499668e-54,5.5509473862227005e-28
3.6844762590868635e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307241,0.0,5.894081960686514e-26,2.928942113088677e-30,4.837493558178794e-31,1.4753563802567365e-27,8.494068708113226e-40,4.098965194102347e-26,1.9730518461591768e-32,0.0,0.46346346346346345,2.111813380545286e-18,4.453415490964205e-16,4.453415491204361e-16,4.144093177029586e-16,1.1919735350134835e-18,9.198251732727345e-19,1.5282364526924311e-28,5.4983726572174797e-39,1.8504593081704215e-46,2.987452195032219e-57,4.5195479385496254e-40,1.5601008832570257e-41,3.2276104364316663e-53,3.352772221002346e-27
8.421660020769974e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307156,0.0,2.8377467450899693e-25,1.4101595471926505e-29,2.3290449115711253e-30,7.103205884071981e-27,8.33952702595405e-39,1.9734752952328346e-25,9.499395311728108e-32,0.0,0.46346346346346345,4.827002026538794e-18,1.0179235407563038e-15,1.0179235408719277e-15,9.472212974915673e-16,2.7245109370289826e-18,2.102457538524704e-18,7.357800668158114e-28,5.398321647776143e-38,3.6561870793093004e-45,1.1817999757006845e-55,4.437318806888092e-39,1.5317162981746501e-40,6.377214248942049e-52,1.614215499499313e-26
1.7896027544136193e-19,0.13078664456000041,0.46346346346346345,0.0,0.0,0.0,0.07307307307306989,0.0,1.2393185576686363e-24,6.158537224936528e-29,1.0171551021828665e-29,3.102156627781074e-26,7.376217210873105e-38,8.618685090852005e-25,4.148635503585407e-31,0.0,0.46346346346346345,1.0257379365578888e-17,2.1630875239555346e-15,2.163087524460496e-15,2.0128452566778204e-15,5.789585740568898e-18,4.467722267723999e-18,3.213344857260671e-27,4.774730825014741e-37,6.505958510003445e-44,4.217714308126278e-54,3.9247579495033607e-38,1.354785719103684e-39,1.134791175614203e-50,7.049703176222267e-26
3.6844762590868635e-19,0.13078664456000083,0.46346346346346345,0.0,0.0,0.0,0.07307307307306651,0.0,5.173911016300057e-24,2.571068060584196e-28,4.246422322657511e-29,1.2950893262577444e-25,6.20015501373642e-37,3.5981313647638846e-24,1.731973656271701e-30,0.0,0.46346346346346345,2.111813423187141e-17,4.453415489871852e-15,4.453415491979968e-15,4.144093173486467e-15,1.1919735345684398e-17,9.198251720904015e-18,1.341508222038258e-26,4.013409360067781e-36,1.0973145178738578e-42,1.4250393415964142e-52,3.2989950629417136e-37,1.1387790280344509e-38,1.9139910922671252e-49,2.9431123003227707e-25
7.474223268433351e-19,0.13078664456000175,0.46346346346346345,0.0,0.0,0.0,0.07307307307305978,0.0,2.1137114693936588e-23,1.0503651948142304e-27,1.7348020748681093e-28,5.2908624769207075e-25,5.083261673863404e-36,1.469954065406276e-23,7.075677511509527e-30,0.0,0.46346346346346345,4.283964471730575e-17,9.03407141977592e-15,9.034071428388262e-15,8.406589000848321e-15,2.4180034548058083e-17,1.8659310606389756e-17,5.480498801815803e-26,3.2903705388307226e-35,1.802307969243918e-41,4.6850137482341984e-51,2.704714685571319e-36,9.336398479434449e-38,3.1437358208278806e-48,1.2023574043835942e-24
1.5053717287126328e-18,0.1307866445600035,0.46346346346346345,0.0,0.0,0.0,0.07307307307304632,0.0,8.543959701970537e-23,4.245744057844625e-27,7.012347347207941e-28,2.138651208333537e-24,4.1165570894980984e-35,5.941789347820334e-23,2.8601019777142735e-29,0.0,0.46346346346346345,8.628266869957165e-17,1.8195383271869774e-14,1.8195383306682244e-14,1.6931580630550276e-14,4.870063292137617e-17,3.758142829386408e-17,2.2153052344066485e-25,2.664522203121326e-34,2.9215072925554244e-40,1.5194407696990124e-49,2.1903468071409557e-35,7.560857528931697e-37,5.096130280038945e-47,4.860120855281679e-24
3.0212705324512278e-18,0.13078664456000702,0.46346346346346345,0.0,0.0,0.0,0.07307307307301938,0.0,3.435488609852335e-22,1.70719501337242e-26,2.819634018527123e-27,8.599422459871133e-24,3.3133632676092593e-34,2.3891673557887037e-22,1.150034423811316e-28,0.0,0.46346346346346345,1.731687287096924e-16,3.6518006945200374e-14,3.651800708517978e-14,3.3981563789867176e-14,9.774182954229524e-17,7.542566333482406e-17,8.9076448592024e-25,2.144469999282715e-33,4.704638037116077e-39,4.894229141948673e-48,1.7629796223174196e-34,6.085635883300651e-36,8.207157624440209e-46,1.9542332093464587e-23
6.053068139928418e-18,0.13078664456001407,0.46346346346346345,0.0,0.0,0.0,0.07307307307296551,0.0,1.3777845816283137e-21,6.846615574670803e-26,1.1307993459367763e-26,3.448753034971833e-23,2.6587653372492533e-33,9.581629613514642e-22,4.612152386967368e-28,0.0,0.46346346346346345,3.469408969122896e-16,7.31632541684331e-14,7.316325472981311e-14,6.808152970815293e-14,1.9582422228126492e-16,1.511141320807894e-16,3.572363948033192e-24,1.7205305124703962e-32,7.550832419984613e-38,1.5708876264952143e-46,1.414676838079562e-33,4.883339479060306e-35,1.3174295689058422e-44,7.837349133621689e-23
