Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.338379757809358e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307283,0.0,1.009491087159934e-26,5.016457147282055e-31,8.285270995179366e-32,2.526872083054244e-28,7.527950712232955e-41,7.020378843858304e-27,3.379284961544172e-33,0.0,0.46346346346346345,7.671126311654962e-19,1.6176956308550168e-16,1.6176956308979683e-16,1.5053348245237582e-16,4.3298236681876574e-19,3.341249355841304e-19,2.617440830355592e-29,4.872991483583328e-40,8.852548126006489e-48,7.879984309715838e-59,4.0054932267834445e-41,2.098630624849152e-42,2.343644495211126e-54,5.742359365049592e-28,1.8198692686272569e-28
3.7474633218662023e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.0730730730730724,0.0,6.097326166216481e-26,3.029940116989574e-30,5.0043036808670295e-31,1.526230738197753e-27,8.937183085152485e-40,4.240308821477646e-26,2.0410881167123058e-32,0.0,0.46346346346346345,2.147915370885952e-18,4.529547766310312e-16,4.52954776656974e-16,4.214937508413745e-16,1.212350627060793e-18,9.355498195419129e-19,1.5809342613742216e-28,5.785208804176101e-39,1.980277419554221e-46,3.2516894820130713e-57,4.7553214781365776e-40,2.491494277653764e-41,5.242638961611587e-53,3.468385056199382e-27,1.099201038232722e-27
8.565630449979891e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307154,0.0,2.9356000811168067e-25,1.4587857384764316e-29,2.4093568050661365e-30,7.34814401801658e-27,8.774579348906209e-39,2.0415261674748386e-25,9.82696066726484e-32,0.0,0.46346346346346345,4.909520864817111e-18,1.0353252036885955e-15,1.0353252038134988e-15,9.634142875182598e-16,2.7710871474178432e-18,2.1383995870828672e-18,7.6115179322657195e-28,5.679938149399564e-38,3.912685022976925e-45,1.2863289331285732e-55,4.6688026549665324e-39,2.4461638558060087e-40,1.0358571005131738e-51,1.669878102920563e-26,5.292179832895947e-27
1.8201964706207267e-19,0.13078664456000044,0.46346346346346345,0.0,0.0,0.0,0.07307307307306983,0.0,1.2820536803373586e-24,6.370900577531873e-29,1.0522294160446613e-29,3.209127545990223e-26,7.761016063611369e-38,8.915881128402099e-25,4.291691900225299e-31,0.0,0.46346346346346345,1.0432731910640425e-17,2.2000660576697473e-15,2.2000660582152336e-15,2.0472553604675844e-15,5.888560187623929e-18,4.5440991206663366e-18,3.3241498520629826e-27,5.02381578000956e-37,6.96238014971772e-44,4.590765822573105e-54,4.12950277172297e-38,2.1636042279063398e-39,1.8432523208320747e-50,7.292796389109112e-26,2.3112339708754295e-26
3.747463321866202e-19,0.1307866445600009,0.46346346346346345,0.0,0.0,0.0,0.0730730730730664,0.0,5.352321740920154e-24,2.6597255799242273e-28,4.392850678555919e-29,1.3397475788955602e-25,6.523601635161318e-37,3.7222048600455206e-24,1.791696885768501e-30,0.0,0.46346346346346345,2.147915423413103e-17,4.529547765096141e-15,4.52954776737344e-15,4.2149375047484475e-15,1.212350626600403e-17,9.355498181839511e-18,1.3877671260147804e-26,4.2227774950335573e-36,1.1742957717774514e-42,1.5510816983361092e-52,3.4710953892828322e-37,1.818639719430079e-38,3.108914306358891e-49,3.0445989312958115e-25,9.648946859731036e-26
7.601997024357152e-19,0.13078664456000177,0.46346346346346345,0.0,0.0,0.0,0.07307307307305955,0.0,2.1865980717210334e-23,1.0865846842984143e-27,1.794622836025124e-28,5.4733060106751795e-25,5.348442755647556e-36,1.5206421365820486e-23,7.319666390972351e-30,0.0,0.46346346346346345,4.357199980848815e-17,9.18851117780529e-15,9.188511187108801e-15,8.550301786839033e-15,2.4593398414635977e-17,1.8978296280210816e-17,5.669481517220237e-26,3.4620186295219373e-35,1.9287468651878383e-41,5.099391619521356e-51,2.8458128759743307e-36,1.491030717834999e-37,5.1064005969818054e-48,1.2438180044752544e-24,3.9419096284747414e-25
1.5311064429339055e-18,0.13078664456000355,0.46346346346346345,0.0,0.0,0.0,0.07307307307304585,0.0,8.838579001507967e-23,4.392149025419955e-27,7.254152427779031e-28,2.212397801779051e-24,4.3313076043544047e-35,6.146678635310708e-23,2.958726183644428e-29,0.0,0.46346346346346345,8.775769466670604e-17,1.850643799464903e-14,1.8506438032255313e-14,1.7221030325135625e-14,4.9533182679386804e-17,3.822389238105324e-17,2.291695068537535e-25,2.803519898715245e-34,3.1264603206935494e-40,1.6538290851747335e-49,2.304611690871822e-35,1.2074753300703956e-36,8.277693839510526e-47,5.027711229119907e-24,1.5933828966455608e-24
3.0729199239302857e-18,0.13078664456000716,0.46346346346346345,0.0,0.0,0.0,0.07307307307301845,0.0,3.553953733902993e-22,1.7660638069880658e-26,2.9168627774911982e-27,8.8959542692725e-24,3.4862131641035672e-34,2.4715524367286116e-22,1.1896907830937786e-28,0.0,0.46346346346346345,1.761290992211564e-16,3.714229159403829e-14,3.7142291745251505e-14,3.456248729819053e-14,9.941275107883631e-17,7.671508419913734e-17,9.214805014379519e-25,2.256335561115964e-33,5.0346767815605816e-39,5.3270878256304004e-48,1.8549497981729539e-34,9.718811890899306e-36,1.3330965659000428e-45,2.0216205610050703e-23,6.406922540677198e-24
6.156546885923046e-18,0.13078664456001432,0.46346346346346345,0.0,0.0,0.0,0.07307307307296367,0.0,1.4252943944452632e-21,7.082705767310764e-26,1.1697924265940466e-26,3.567675553772448e-23,2.7974664923007515e-33,9.912030632309672e-22,4.771192123170668e-28,0.0,0.46346346346346345,3.5287196768211553e-16,7.441399865562397e-14,7.441399926205654e-14,6.924540083014719e-14,1.9917188735752654e-16,1.5369746630090266e-16,3.69554890182313e-24,1.810276526619073e-32,8.080515668311751e-38,1.7098109495182749e-46,1.4884768819999963e-33,7.798734400350045e-35,2.1399135929344243e-44,8.107602548910443e-23,2.569462489643774e-23
