Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3605032360555528e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307281,0.0,1.0431407900645933e-26,5.183672385525706e-31,8.561446695012181e-32,2.611101152490352e-28,7.907467682417462e-41,7.254391471980683e-27,3.491927793593878e-33,0.0,0.46346346346346345,7.797930378543227e-19,1.6444362131813538e-16,1.6444362132257375e-16,1.530218077612064e-16,4.401395850277136e-19,3.3964803595988316e-19,2.704688858029411e-29,5.118660218928846e-40,9.452553961460214e-48,8.553156702412357e-59,4.207427684328699e-41,2.204431787291851e-42,2.5024915107162767e-54,5.9337713438760695e-28,1.8805315775454192e-28,3.5549054069464835e-39
3.809409060955548e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.0730730730730724,0.0,6.300570371749052e-26,3.1309381208903124e-30,5.171113803554892e-31,1.577105096138825e-27,9.38774563212771e-40,4.381652448852836e-26,2.109124387267284e-32,0.0,0.46346346346346345,2.1834205097354182e-18,4.604421396821264e-16,4.60442139708934e-16,4.2846106170525757e-16,1.2323908380447891e-18,9.510145005908986e-19,1.6336320700811138e-28,6.076866273675204e-39,2.1144961381724954e-46,3.529475116683447e-57,4.995058060664587e-40,2.6171014176794826e-41,5.597973378959682e-53,3.583997891395925e-27,1.1358410727976456e-27,4.2203788108047595e-38
8.707220710755539e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307152,0.0,3.0334534171462e-25,1.5074119297600454e-29,2.4896686985607802e-30,7.593082151961731e-27,9.216944329267022e-39,2.109577039716737e-25,1.015452602281973e-31,0.0,0.46346346346346345,4.9906754684708655e-18,1.0524391763754977e-15,1.0524391765045648e-15,9.793395694888778e-16,2.816893343947702e-18,2.173747429465833e-18,7.865235196619772e-28,5.966288222702998e-38,4.177877785645733e-45,1.396217434926886e-55,4.9041774417251625e-39,2.5694856906678337e-40,1.1060651924219547e-51,1.7255407063413297e-26,5.468585826905265e-27,4.143582588575177e-37
1.8502844010355521e-19,0.13078664456000041,0.46346346346346345,0.0,0.0,0.0,0.07307307307306979,0.0,1.3247888030083413e-24,6.583263930125696e-29,1.0873037299061312e-29,3.316098464199862e-26,8.152282879011669e-38,9.213077165951261e-25,4.434748296881249e-31,0.0,0.46346346346346345,1.0605185445834789e-17,2.2364332496237967e-15,2.2364332501874662e-15,2.0810965846381906e-15,5.985898355228578e-18,4.619213285667313e-18,3.4349548470832716e-27,5.277087469727297e-37,7.43427361467949e-44,4.9829448318468863e-54,4.3376890844659816e-38,2.2726809941673562e-39,1.9681838653824698e-50,7.535889601991685e-26,2.3882751028659744e-26,3.664933455600995e-36
3.809409060955548e-19,0.1307866445600009,0.46346346346346345,0.0,0.0,0.0,0.0730730730730663,0.0,5.530732465559243e-24,2.7483830992629556e-28,4.539279034451591e-29,1.384405831533787e-25,6.852484968923081e-37,3.846278355326371e-24,1.8514201152787954e-30,0.0,0.46346346346346345,2.1834205640134746e-17,4.604421395566622e-15,4.604421397919832e-15,4.284610613265104e-15,1.232390837569053e-17,9.51014499187672e-18,1.4340260301745242e-26,4.4356647388981864e-36,1.2538865277009525e-42,1.6835865745906286e-52,3.646088494637436e-37,1.9103253136742483e-38,3.319629603806498e-49,3.1460855622652587e-25,9.970578418595469e-26,3.0805664121845546e-35
7.727658380795541e-19,0.1307866445600018,0.46346346346346345,0.0,0.0,0.0,0.07307307307305934,0.0,2.2594846740639756e-23,1.1228041737815215e-27,1.8544435971798927e-28,5.655749544433003e-25,5.61808118267031e-36,1.5713302077571768e-23,7.563655270545802e-30,0.0,0.46346346346346345,4.4292246987023096e-17,9.340397685237179e-15,9.340397694850809e-15,8.691638663832083e-15,2.4999928408215228e-17,1.9292008379521315e-17,5.858464234126823e-26,3.6365517443157173e-35,2.059471720161626e-41,5.535015337384953e-51,2.9892827395227e-36,1.566200107133749e-37,5.452501063677541e-48,1.285278604563966e-24,4.073306613527236e-25,2.5255836517541967e-34
1.5564157020475527e-18,0.1307866445600036,0.46346346346346345,0.0,0.0,0.0,0.07307307307304542,0.0,9.133198301171462e-23,4.538553992986536e-27,7.495957508331929e-28,2.2861443952272796e-24,4.5496677929372875e-35,6.351567922795852e-23,3.0573503896641714e-29,0.0,0.46346346346346345,8.920833351395355e-17,1.881235025571792e-14,1.881235029457774e-14,1.750569473821865e-14,5.0351968439667806e-17,3.885573505571365e-17,2.3680849038848997e-25,2.9448537122405473e-34,3.338360567797404e-40,1.7951074647700493e-49,2.4207972139860857e-35,1.2683494499805485e-36,8.838737474011177e-47,5.195301602934251e-24,1.6464956577913099e-24,2.0452008249272882e-33
3.1237154299835494e-18,0.13078664456000727,0.46346346346346345,0.0,0.0,0.0,0.07307307307301757,0.0,3.672418858055117e-22,1.8249326005966558e-26,3.0140915364406282e-27,9.192486078695712e-24,3.6619684400280282e-34,2.553937517664308e-22,1.2293471424483508e-28,0.0,0.46346346346346345,1.790405219004296e-16,3.775625536123791e-14,3.775625551749155e-14,3.5133806780002225e-14,1.0105604836818571e-16,7.79831880117109e-17,9.521965179347915e-25,2.3700810325283127e-33,5.375902180680241e-39,5.782137486422198e-48,1.948465866835385e-34,1.0208779760108915e-35,1.4234508696710802e-45,2.0890079126444556e-23,6.620486608660157e-24,1.6460230884332094e-32
6.258314885855544e-18,0.13078664456001457,0.46346346346346345,0.0,0.0,0.0,0.07307307307296187,0.0,1.4728042073436317e-21,7.318795959894059e-26,1.2087855072395629e-26,3.6865980725905874e-23,2.938499031339224e-33,1.0242431651070891e-21,4.930231859952589e-28,0.0,0.46346346346346345,3.587049600038421e-16,7.564406543051193e-14,7.564406605715892e-14,7.039003043561114e-14,2.0246420768767247e-16,1.5623809233815574e-16,3.818733863469953e-24,1.901530405945455e-32,8.628150752428578e-38,1.8558552980458827e-46,1.56351739974025e-33,8.191902746875687e-35,2.284952119802975e-44,8.377855964044907e-23,2.6551112258949497e-23,1.32061732702998e-31
1.2527513797599532e-17,0.1307866445600291,0.46346346346346345,0.0,0.0,0.0,0.07307307307285048,0.0,5.898898873773463e-21,2.931335856028165e-25,4.8414469613122286e-26,1.4765621572279055e-22,2.3543750357469256e-32,4.1023150273466154e-21,1.9746643230725046e-27,0.0,0.46346346346346345,7.180340815325098e-16,1.514196850019961e-13,1.5141968751185265e-13,1.4090247603499603e-13,4.0528052417644993e-16,3.12747894648847e-16,1.5294853433421728e-23,1.5230411890604819e-31,1.3823172553558883e-36,5.94445974336195e-45,1.25271054804492e-32,6.563490738313989e-34,3.661875609593798e-43,3.355512174156337e-22,1.063429378866241e-22,1.0577604926872974e-30
2.5065911621087506e-17,0.13078664456005826,0.46346346346346345,0.0,0.0,0.0,0.0730730730726277,0.0,2.3610967976459425e-20,1.1732982772812539e-24,1.9378404544869117e-25,5.910096731773872e-22,1.8849315404904165e-31,1.6419950594085338e-20,7.903803286414589e-27,0.0,0.46346346346346345,1.436693305877225e-15,3.0297092187670914e-13,3.0297093192267586e-13,2.819273603864344e-13,8.109131485532207e-16,6.257674739014379e-16,6.121926982622353e-23,1.218563820403527e-30,2.212111639546222e-35,1.901092207816595e-43,1.0029205227248208e-31,5.2547832582390196e-33,5.863753851399902e-42,1.3430792789886268e-21,4.256488811168226e-22,8.463069806740332e-30
