Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3822726701058028e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307283,0.0,1.07679049296922e-26,5.350887623769397e-31,8.837622394844681e-32,2.6953302219265066e-28,8.293156334790786e-41,7.488404100102765e-27,3.604570625643498e-33,0.0,0.46346346346346345,7.922705187496893e-19,1.67074886334152e-16,1.6707488633873352e-16,1.5547031215564457e-16,4.471822655704817e-19,3.450827496176779e-19,2.791936885703003e-29,5.368323997370087e-40,1.0072232102791788e-47,9.259704311583082e-59,4.412645987815664e-41,2.3119534819009866e-42,2.666546625084222e-54,6.125183322702138e-28,1.9411938864973703e-28,3.72829663151344e-39,6.995156968803045e-47
3.870363476296248e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307237,0.0,6.503814577281237e-26,3.2319361247911e-30,5.33792392624238e-31,1.6279794540799522e-27,9.845635200196579e-40,4.5229960762276705e-26,2.1771606578221613e-32,0.0,0.46346346346346345,2.218357456363196e-18,4.678096817266938e-16,4.678096817543662e-16,4.353168740088416e-16,1.2521103435634808e-18,9.662316988296022e-19,1.6863298787877377e-28,6.373266643481744e-39,2.2531154636675747e-46,3.82103307203207e-57,5.238693224915259e-40,2.7447511735067705e-41,5.964958105047606e-53,3.699610726591983e-27,1.1724811074026836e-27,4.4262284787167266e-38,1.5647868493715657e-45
8.846545088677138e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307148,0.0,3.131306753175214e-25,1.5560381210437082e-29,2.5699805920550585e-30,7.838020285907419e-27,9.666503022384285e-39,2.177627911958285e-25,1.0482091378373625e-31,0.0,0.46346346346346345,5.070531347046475e-18,1.06927927247605e-15,1.0692792726092803e-15,9.950099976073835e-16,2.8619664994140074e-18,2.208529596853866e-18,8.118952460971184e-28,6.25729487218603e-38,4.451765365900844e-45,1.511554080989114e-55,5.14337987875751e-39,2.6948129778649374e-40,1.1785751889733226e-51,1.7812033097616188e-26,5.6449918213084286e-27,4.3456861788634335e-37,3.091747411270986e-44
1.8798908313438918e-19,0.13078664456000044,0.46346346346346345,0.0,0.0,0.0,0.07307307307306972,0.0,1.3675239256789896e-24,6.79562728271996e-29,1.122378043767278e-29,3.423069382409974e-26,8.549912451875398e-38,9.51027320349733e-25,4.577804693536318e-31,0.0,0.46346346346346345,1.0774879190238094e-17,2.2722184538318528e-15,2.272218454413706e-15,2.1143962443730572e-15,6.081678810573178e-18,4.6931253913040584e-18,3.545759842101229e-27,5.534477792365057e-37,7.921638899839231e-44,5.39456753126182e-54,4.5492609098535833e-38,2.3835315603590504e-39,2.0972115261113759e-50,7.778982814870034e-26,2.4653162352048714e-26,3.843690308257427e-36,5.501571748714044e-43
3.870363476296248e-19,0.1307866445600009,0.46346346346346345,0.0,0.0,0.0,0.07307307307306618,0.0,5.7091431901955285e-24,2.837040618602062e-28,4.6857073903445576e-29,1.4290640841724133e-25,7.186716583711974e-37,3.970351850604625e-24,1.9111433447883526e-30,0.0,0.46346346346346345,2.2183575123921572e-17,4.678096815971822e-15,4.6780968184009425e-15,4.353168736178768e-15,1.2521103430723982e-17,9.662316973811098e-18,1.48028493433231e-26,4.652013847732657e-36,1.3360867839382938e-42,1.822660797896772e-52,3.823927326225463e-37,2.0035018937256614e-38,3.5372535994085766e-49,3.247572193231161e-25,1.029220998038799e-25,3.2308198209650235e-35,9.27911181220769e-42
7.85130876620096e-19,0.13078664456000183,0.46346346346346345,0.0,0.0,0.0,0.0730730730730591,0.0,2.3323712764046227e-23,1.159023663264939e-27,1.9142643583324476e-28,5.8381930781941135e-25,5.892104453599151e-36,1.6220182789301776e-23,7.807644150113216e-30,0.0,0.46346346346346345,4.5000967980489504e-17,9.489853537965214e-15,9.48985354788896e-15,8.830713712887634e-15,2.5399952662355447e-17,1.960070011325179e-17,6.047446951017366e-26,3.813922950753925e-35,2.1944825285564433e-41,5.992236076676635e-51,3.135085699504524e-36,1.6425918968199503e-37,5.809949086255628e-48,1.3267392046497737e-24,4.204703600980314e-25,2.648766379858957e-34,1.5240663272500387e-40
1.5813199346010384e-18,0.13078664456000366,0.46346346346346345,0.0,0.0,0.0,0.07307307307304496,0.0,9.427817600816385e-23,4.6849589605556364e-27,7.737762588866911e-28,2.3598909886781747e-24,4.771578941784715e-35,6.556457210263782e-23,3.155974595679029e-29,0.0,0.46346346346346345,9.063575765042925e-17,1.9113366972805803e-14,1.9113367012919175e-14,1.778580363869516e-14,5.115765109093779e-17,3.947746628983964e-17,2.4444747392192765e-25,3.088485635885349e-34,3.5572080156769902e-40,1.9433897783134726e-49,2.5388721360622804e-35,1.3302135016458604e-36,9.418175980467709e-47,5.3628919767250854e-24,1.699608420881038e-24,2.1449507608510643e-33,2.47047807315746e-39
3.173698050562923e-18,0.13078664456000738,0.46346346346346345,0.0,0.0,0.0,0.07307307307301666,0.0,3.790883982192296e-22,1.8838013942072765e-26,3.1113202953756425e-27,9.489017888140389e-24,3.8405818376752323e-34,2.6363225985861504e-22,1.2690035017989903e-28,0.0,0.46346346346346345,1.819053528175243e-16,3.8360393805902224e-14,3.8360393967196316e-14,3.5695983379869386e-14,1.0267304780938015e-16,7.923099823384125e-17,9.829125344211783e-25,2.485675820416211e-33,5.728314175887203e-39,6.259744759299469e-48,2.043502683295663e-34,1.0706715464983639e-35,1.516767609210373e-45,2.1563952642649213e-23,6.834050692288718e-24,1.7262998421596578e-32,3.9783095543558275e-38
6.358454282486693e-18,0.13078664456001476,0.46346346346346345,0.0,0.0,0.0,0.07307307307296007,0.0,1.5203140202300083e-21,7.554886152493647e-26,1.2477785878735128e-26,3.805520591425954e-23,3.081825033022296e-33,1.057283266972095e-21,5.089271596702964e-28,0.0,0.46346346346346345,3.6444460646057687e-16,7.685444732575598e-14,7.685444797261742e-14,7.151634242045447e-14,2.057038406913755e-16,1.58738060485148e-16,3.941918825032909e-24,1.9942675996343841e-32,9.193737484309382e-38,2.0091382549600806e-46,1.6397782140141357e-33,8.591464785627862e-35,2.4347460068561e-44,8.648109379027565e-23,2.7407599746987557e-23,1.385017243422599e-31,6.385043295820367e-37
