Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4037045322022794e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307281,0.0,1.1104401958738145e-26,5.518102862013127e-31,9.113798094676872e-32,2.7795592913843763e-28,8.68495454659672e-41,7.722447937820646e-27,3.7172134587656184e-33,0.0,0.46346346346346345,8.045545151666948e-19,1.6966534912856138e-16,1.6966534913328607e-16,1.5788084834151859e-16,4.541157374206741e-19,3.504331888334384e-19,2.879184913376374e-29,5.62191988494579e-40,1.0711582549217113e-47,1.0000161217170605e-58,4.621096406996853e-41,3.747549280428938e-42,4.389342029359177e-54,6.3165953015278e-28,2.0018561954492687e-28,3.904418768310818e-39,7.439185331659532e-47,3.1793777908532285e-32
3.9303726901663825e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307237,0.0,6.707058782813045e-26,3.332934128691939e-30,5.5047340489295155e-31,1.6788538120468622e-27,1.0310778037222937e-39,4.6643585541981986e-26,2.2451969296503138e-32,0.0,0.46346346346346345,2.2527526464515657e-18,4.75062977550761e-16,4.750629775792982e-16,4.420663753284465e-16,1.2715240647429615e-18,9.812129286306097e-19,1.739027687494097e-28,6.674335198396912e-39,2.396135395715897e-46,4.1265837358410523e-57,5.486165556776607e-40,4.449090410467204e-41,9.818782290048842e-53,3.815223561787562e-27,1.209121142007659e-27,4.6353203442259867e-38,1.664114075376927e-45,1.9203440591156298e-31
8.983709006094589e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307147,0.0,3.2291600892038605e-25,1.6046643123274237e-29,2.6502924855489925e-30,8.082958420106242e-27,1.0123183017973381e-38,2.2456878599500363e-25,1.0809656746428612e-31,0.0,0.46346346346346345,5.149148924960589e-18,1.0858582343583157e-15,1.0858582344957106e-15,1.0104374291910793e-15,2.9063407192478313e-18,2.242772407812881e-18,8.37266972532001e-28,6.552884742023411e-38,4.734347762462276e-45,1.6324260529548532e-55,5.386349669404361e-39,4.368143145968111e-40,1.9400258092052806e-51,1.83686591318144e-26,5.821397815710977e-27,4.5509731020983184e-37,3.2880006549390544e-44,9.245628717405627e-31
1.9090381637951003e-19,0.13078664456000044,0.46346346346346345,0.0,0.0,0.0,0.07307307307306968,0.0,1.4102590483493118e-24,7.007990635314682e-29,1.1574523576281206e-29,3.53004030084398e-26,8.953840736125845e-38,9.807508877227408e-25,4.7208611012484625e-31,0.0,0.46346346346346345,1.094194154573576e-17,2.3074487478260487e-15,2.3074487484260875e-15,2.147179536471454e-15,6.175974027698755e-18,4.765891364529141e-18,3.656564837116899e-27,5.79592186552617e-37,8.424476000628857e-44,5.825945054614968e-54,4.764164916316059e-38,3.863572786021473e-39,3.4521718766196263e-50,8.022076027744241e-26,2.5423573675432256e-26,4.0252630036499527e-36,5.850791704750566e-43,4.0378078327087045e-30
3.930372690166383e-19,0.13078664456000094,0.46346346346346345,0.0,0.0,0.0,0.07307307307306608,0.0,5.8875539148290714e-24,2.9256981379415497e-28,4.8321357462349595e-29,1.4737223369992358e-25,7.52624264494144e-37,4.094441893208176e-24,1.97086658359204e-30,0.0,0.46346346346346345,2.2527527042314598e-17,4.750629774172007e-15,4.750629776677053e-15,4.42066374925264e-15,1.271524064236533e-17,9.812129271368521e-18,1.5265438384881717e-26,4.871770283973196e-36,1.4208965389460693e-42,1.9684094857071458e-52,4.004567055888849e-37,3.24756512053963e-38,5.8225911146420186e-49,3.349058824193582e-25,1.0613841542175947e-25,3.3834404866590186e-35,9.868114868886559e-42,1.6857043392038996e-29
7.9730417429089485e-19,0.13078664456000186,0.46346346346346345,0.0,0.0,0.0,0.0730730730730589,0.0,2.4052578787430193e-23,1.1952431527486706e-27,1.9740851194828994e-28,6.020636613498173e-25,6.170468431587466e-36,1.6727131102244365e-23,8.051633105879443e-30,0.0,0.46346346346346345,4.569869905558626e-17,9.636991824505897e-15,9.636991834739824e-15,8.967632167696752e-15,2.5793773862757387e-17,1.990460505867473e-17,6.23642966789213e-26,3.9940875356470336e-35,2.3337792852982194e-41,6.471399390444418e-51,3.283185003480591e-36,2.6625491052028837e-37,9.563619003103078e-48,1.3681998047327258e-24,4.336100588429645e-25,2.7738905372761244e-34,1.6208078113196919e-40,6.88664452216051e-29
1.605837984839408e-18,0.13078664456000372,0.46346346346346345,0.0,0.0,0.0,0.07307307307304453,0.0,9.722436900443069e-23,4.831363928127278e-27,7.979567669384858e-28,2.4336375833785828e-24,4.997005307733966e-35,6.761373823214184e-23,3.254598863401528e-29,0.0,0.46346346346346345,9.204104716258553e-17,1.9409715915741562e-14,1.940971595710874e-14,1.8061568976111947e-14,5.195084026777716e-17,4.008955652779695e-17,2.520864574540874e-25,3.2343794597503896e-34,3.783002647876732e-40,2.0987880725906813e-49,2.6588066946590727e-35,2.1561996927697804e-36,1.5503024305676246e-46,5.530482350492789e-24,1.752721183967731e-24,2.2462739029568945e-33,2.6272922617353385e-39,2.7836855701662554e-28
3.222905605936434e-18,0.1307866445600075,0.46346346346346345,0.0,0.0,0.0,0.0730730730730158,0.0,3.909349106314794e-22,1.9426701878199438e-26,3.208549054296946e-27,9.78554970764219e-24,4.022024587838216e-34,2.718718666957478e-22,1.3086599108170993e-28,0.0,0.46346346346346345,1.8472575969840785e-16,3.895516406048444e-14,3.895516422682005e-14,3.6249442479050214e-14,1.0426497293475927e-16,8.045945904408056e-17,1.0136285508972787e-24,2.6030907799054047e-33,6.091912714180927e-39,6.760270408483909e-48,2.140036293176852e-34,1.7354945160072401e-35,2.4967096902433648e-45,2.2237826158667677e-23,7.047614775892852e-24,1.8078444365845035e-32,4.2308284452605663e-38,1.1193026955144335e-27
6.4570408481304865e-18,0.130786644560015,0.46346346346346345,0.0,0.0,0.0,0.07307307307295834,0.0,1.5678238331046053e-21,7.790976345109661e-26,1.2867716684964608e-26,3.9244431183314606e-23,3.227421411873179e-33,1.090327775290288e-21,5.248311732000158e-28,0.0,0.46346346346346345,3.7009525005734783e-16,7.804606019905639e-14,7.804606086613662e-14,7.262518902935828e-14,2.088932376964939e-16,1.611992623888046e-16,4.0651037865133285e-24,2.08846472076893e-32,9.777275693865803e-38,2.1697755197231832e-46,1.717240104587931e-33,1.3926209079420258e-34,4.007757283657021e-44,8.918362793860816e-23,2.826408723482962e-23,1.4504370686590916e-31,6.790310115513297e-37,4.488864091472167e-27
