Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.424814055562695e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307281,1.5348762998796582e-55,1.1440898987783783e-26,5.685318100256907e-31,9.38997379450876e-32,2.8637883608216135e-28,9.082700959232892e-41,7.956461511687473e-27,3.829856290864194e-33,0.0,0.46346346346346345,8.16653758254801e-19,1.722168509358558e-16,1.7221685094072375e-16,1.602551296661039e-16,4.609449287121941e-19,3.557031565620864e-19,2.966432941049523e-29,5.8793878316006884e-40,1.1370605299964223e-47,1.0775053215211981e-58,4.832729582024008e-41,3.919176461907436e-42,4.659393373355778e-54,6.50800728035307e-28,2.062518504401116e-28,4.083230046976469e-39,7.896876093800971e-47,3.2757225690318623e-32,1.3389070059631472e-44
3.989479355575546e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307236,3.433456887763283e-54,6.910302988344484e-26,3.4339321325928294e-30,5.671544171616284e-31,1.729728169989275e-27,1.0782982578274052e-39,4.805702752802523e-26,2.31323320026331e-32,0.0,0.46346346346346345,2.2866305272190157e-18,4.822071826109062e-16,4.822071826403082e-16,4.487143630364428e-16,1.2906458003581593e-18,9.959688382677028e-19,1.791725496200197e-28,6.980000646995108e-39,2.543555933998913e-46,4.446344077515698e-57,5.73741645616345e-40,4.652846194457793e-41,1.0422876324682707e-52,3.9308363969826734e-27,1.2457611766125728e-27,4.847604748644466e-38,1.7664975188186685e-45,1.9785362993394476e-31,1.5895503974719288e-43
9.118809955601249e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307144,6.783932223182738e-53,3.327013425232141e-25,1.6532905036111868e-29,2.7306043790425635e-30,8.327896554064555e-27,1.0586796236447379e-38,2.3137390072136477e-25,1.1137222102553135e-31,0.0,0.46346346346346345,5.226584081569734e-18,1.1021878459230464e-15,1.1021878460646043e-15,1.0256328296625274e-15,2.9500475435061523e-18,2.2765002012543765e-18,8.626386989666285e-28,6.852987837870749e-38,5.025624974069898e-45,1.75891918018783e-55,5.633029279599291e-39,4.568191770531325e-40,2.0593846020177763e-51,1.8925285166007996e-26,5.997803810112929e-27,4.759394457112959e-37,3.490292440558076e-44,9.52579924540795e-31,1.5606300061272332e-42
1.9377471155652652e-19,0.13078664456000044,0.46346346346346345,0.0,0.0,0.0,0.07307307307306962,1.2071644926804134e-51,1.4529941710193114e-24,7.220353987909835e-29,1.1925266714886421e-29,3.6370112190652596e-26,9.363901377498301e-38,1.0104706115864036e-24,4.863917498408247e-31,0.0,0.46346346346346345,1.110649125596033e-17,2.3421491723954836e-15,2.342149173013706e-15,2.179469762456324e-15,6.268851029226385e-18,4.837562925529494e-18,3.767369832130311e-27,6.061357780005698e-37,8.94278491255112e-44,6.277383709526864e-54,4.982350215346945e-38,4.040513506885495e-39,3.664564440453191e-50,8.265169240614371e-26,2.619398499881051e-26,4.209608029581638e-36,6.210756820993338e-43,4.1601656111564124e-30,1.3803595668185224e-41
3.989479355575546e-19,0.13078664456000094,0.46346346346346345,0.0,0.0,0.0,0.07307307307306597,2.0360593596955298e-50,6.065964639459897e-24,3.014355657281398e-28,4.978564102122665e-29,1.518380589647248e-25,7.870923321828418e-37,4.218515889915545e-24,2.0305898135258383e-30,0.0,0.46346346346346345,2.2866305867498152e-17,4.822071824732986e-15,4.822071827313944e-15,4.4871436262104265e-15,1.2906457998363844e-17,9.959688367286794e-18,1.5728027426421363e-26,5.094882009202824e-36,1.5083157912048072e-42,2.1209361248183968e-52,4.1879649083068956e-37,3.396294420753502e-38,6.180822114025358e-49,3.4505454551525714e-25,1.0935473103959453e-25,3.538391397822226e-35,1.0475240862699957e-41,1.7367862597390268e-29,1.1602753887661627e-40
8.092943835596108e-19,0.13078664456000186,0.46346346346346345,0.0,0.0,0.0,0.07307307307305869,3.3442336119354914e-49,2.4781444810791895e-23,1.2314626422326977e-27,2.0339058806311394e-28,6.2030801473362315e-25,6.453058474911094e-36,1.72340138624551e-23,8.295621988925038e-30,0.0,0.46346346346346345,4.638593614160033e-17,9.78191712697851e-15,9.78191713752256e-15,9.10249134638467e-15,2.618167192742673e-17,2.0203939223629684e-17,6.425412384751347e-26,4.1770028347570404e-35,2.4773619853915857e-41,6.972845470496461e-51,3.433545580896461e-36,2.7844863104405054e-37,1.0152014155363053e-47,1.4096604048128654e-24,4.467497575875329e-25,2.900925063481502e-34,1.7205258795597968e-40,7.095330480913627e-29,9.51263864518088e-40
1.6299872795637232e-18,0.1307866445600038,0.46346346346346345,0.0,0.0,0.0,0.0730730730730441,5.4211467968883206e-48,1.0017056200051729e-22,4.977768895701311e-27,8.22137274988489e-28,2.5073841768917897e-24,5.225854050944543e-35,6.966263938693933e-23,3.3532230722330984e-29,0.0,0.46346346346346345,9.342520089391081e-17,1.9701607721751623e-14,1.9701607764372358e-14,1.8333186757397305e-14,5.273209974870438e-17,4.0692440827628574e-17,2.5972544098498823e-25,3.3825006332304646e-34,4.015744448196342e-40,2.2614126554822893e-49,2.780572487497761e-35,2.2549475043298206e-36,1.6456837101072704e-46,5.698072724237716e-24,1.8058339470514726e-24,2.3491439375695115e-33,2.7889312529420063e-39,2.8680394848961447e-28,7.703581405404092e-39
3.271373071571948e-18,0.1307866445600076,0.46346346346346345,0.0,0.0,0.0,0.07307307307301494,8.730589788947104e-47,4.027814230422785e-22,2.001538981434534e-26,3.3057778132038275e-27,1.0082081517588398e-23,4.2062219649365e-34,2.8011040808056894e-22,1.348316272434862e-28,0.0,0.46346346346346345,1.8750374721495628e-16,3.954098887242611e-14,3.954098904380221e-14,3.679457746207918e-14,1.058329552438672e-16,8.166944360087887e-17,1.0443445673632473e-24,2.7222981016658044e-33,6.46669774338331e-39,7.284069596085834e-48,2.23804383386693e-34,1.814975186769026e-35,2.6503179455272847e-45,2.2911699674502817e-23,7.261178859473237e-24,1.8906338251724277e-32,4.49111634510611e-38,1.1532208033051898e-27,6.200512509452008e-38
6.554144655588397e-18,0.13078664456001524,0.46346346346346345,0.0,0.0,0.0,0.07307307307295662,1.4014530136255775e-45,1.6153336459675608e-21,8.027066537741106e-26,1.325764749107836e-26,4.043365637569271e-23,3.3752282053196394e-33,1.1233680106627973e-21,5.407351486942558e-28,0.0,0.46346346346346345,3.756609071227455e-16,7.921975101828813e-14,7.921975170558292e-14,7.371735840206935e-14,2.1203466564462298e-16,1.6362344740838951e-16,4.1882887479124544e-24,2.1840994541220942e-32,1.0378765213650193e-37,2.3378809930807943e-46,1.7958847224661956e-33,1.4563988857844433e-34,4.2543314128758343e-44,9.188616208546956e-23,2.912057472248117e-23,1.5168553144549007e-31,7.208044105952559e-37,4.6248890266112166e-27,4.975520790903462e-37
