Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4456153610600607e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307281,1.626490888713172e-55,1.1777396016829116e-26,5.852533338500725e-31,9.666149494340357e-32,2.9480174302589103e-28,9.486340446357834e-41,8.190475085554027e-27,3.942499122963418e-33,0.0,0.46346346346346345,8.285763416062577e-19,1.7473109854175446e-16,1.7473109854676557e-16,1.625947443663544e-16,4.67674407721708e-19,3.6089617806299506e-19,3.053680968722459e-29,6.140670457420588e-40,1.20493003542728e-47,1.1584898191801437e-58,5.047498347947742e-41,4.0933464990832e-42,4.9375059513414095e-54,6.699419259177951e-28,2.1231808133529127e-28,4.264690617206845e-39,8.368229254699337e-47,3.3720673470632487e-32,1.398408660771542e-44,4.1058182313304584e-95
4.04772301096817e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307234,3.6383950583991336e-54,7.113547193875556e-26,3.534930136493769e-30,5.838354294302698e-31,1.7806025279317583e-27,1.1262183377357301e-39,4.947046951406509e-26,2.3812694708770759e-32,0.0,0.46346346346346345,2.3200137607238462e-18,4.8924707590714315e-16,4.892470759374101e-16,4.552652841963015e-16,1.3094883415837395e-18,1.010509298467125e-18,1.8444233049060411e-28,7.290194867842185e-39,2.695377078202869e-46,4.78052780240125e-57,5.9923899288834464e-40,4.859620856557225e-41,1.1045003016406063e-52,4.046449232177322e-27,1.2824012112174272e-27,5.063034381691798e-38,1.871937179478903e-45,2.0367285393884518e-31,1.660190762060006e-43,4.375067828635554e-93
9.251938310784388e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307141,7.1888555133186995e-53,3.424866761260063e-25,1.7019166948949987e-29,2.8109162725357876e-30,8.572834688023554e-27,1.1057278422542642e-38,2.3817901544769275e-25,1.1464787458685194e-31,0.0,0.46346346346346345,5.3028886158643206e-18,1.1182790305988433e-15,1.1182790307445653e-15,1.040606363738232e-15,2.9931162091596314e-18,2.3097355388383396e-18,8.88010425401005e-28,7.157537277700051e-38,5.325596999482544e-45,1.891118000822073e-55,5.883363733987551e-39,4.771204347152935e-40,2.1823063436080567e-51,1.9481911200197052e-26,6.174209804514287e-27,4.970903794393543e-37,3.6986227672661087e-44,9.805969771693935e-31,1.629985134970501e-42,9.956629984202722e-91
1.9660368910416826e-19,0.13078664456000047,0.46346346346346345,0.0,0.0,0.0,0.07307307307306957,1.279218428661454e-51,1.4957292936889925e-24,7.432717340505413e-29,1.2276009853488566e-29,3.743982137287147e-26,9.78003754293974e-38,1.0401903354497718e-24,5.006973895574698e-31,0.0,0.46346346346346345,1.1268638393766462e-17,2.3763429398259352e-15,2.3763429404623405e-15,2.211288522350239e-15,6.360371943718728e-18,4.9081880178325885e-18,3.878174827141503e-27,6.3307263794073215e-37,9.476565631176433e-44,6.749185195310975e-54,5.203768182001551e-38,4.220075809120271e-39,3.883297079886202e-50,8.508262453480476e-26,2.696439632218353e-26,4.3966843019835525e-36,6.58146709436619e-43,4.282523388086046e-30,1.4417033928568456e-41,1.6826261909161193e-88
4.04772301096817e-19,0.13078664456000094,0.46346346346346345,0.0,0.0,0.0,0.07307307307306586,2.157588854346112e-50,6.244375364088053e-24,3.1030131766216097e-28,5.124992458007793e-29,1.5630388422957715e-25,8.22071084276738e-37,4.34258988662044e-24,2.0903130434652424e-30,0.0,0.46346346346346345,2.320013822005551e-17,4.892470757654883e-15,4.8924707603117494e-15,4.552652837686836e-15,1.3094883410466178e-17,1.0105092968828364e-17,1.6190616467942348e-26,5.32129929890608e-36,1.598344539217901e-42,2.280342644984384e-52,4.374080011509159e-37,3.547227316962648e-38,6.549746572924806e-49,3.5520320861081803e-25,1.1257104665738562e-25,3.695638020819266e-35,1.1100489783254548e-41,1.7878681789981216e-29,1.2118385707913043e-40,2.4637346257274877e-86
8.211095250821144e-19,0.1307866445600019,0.46346346346346345,0.0,0.0,0.0,0.07307307307305846,3.543846171809163e-49,2.551031083413171e-23,1.2676821317170219e-27,2.0937266417772673e-28,6.3855236811784845e-25,6.739835417521572e-36,1.7740896622645535e-23,8.539610872016587e-30,0.0,0.46346346346346345,4.7063138954572694e-17,9.92472639081184e-15,9.924726401666008e-15,9.235381460810362e-15,2.6563906334478113e-17,2.0498902842849027e-17,6.614395101595256e-26,4.3626280809222076e-35,2.6252306239163385e-41,7.496909389425068e-51,3.586133922811091e-36,2.9082301549921053e-37,1.0757973331655599e-47,1.4511210048902335e-24,4.598894563317406e-25,3.029841645714552e-34,1.8232205285534733e-40,7.304016429205086e-29,9.935384764538389e-40,3.368946618445712e-84
1.6537839730527094e-18,0.13078664456000383,0.46346346346346345,0.0,0.0,0.0,0.07307307307304367,5.744727358267412e-48,1.0311675499642664e-22,5.124173863277754e-27,8.463177830367823e-28,2.5811307704083934e-24,5.458093453734952e-35,7.171154054157248e-23,3.4518472811018806e-29,0.0,0.46346346346346345,9.478914475136336e-17,1.9989237647121997e-14,1.9989237690996286e-14,1.8600838676858745e-14,5.3501952144570085e-17,4.12865224790068e-17,2.6736442451464936e-25,3.532816142021903e-34,4.255433400679318e-40,2.431372174463744e-49,2.904142378767919e-35,2.3551583763010405e-36,1.7439121886599531e-46,5.8656630979601996e-24,1.8589467101322912e-24,2.4535379362819603e-33,2.955395035696325e-39,2.952393391153959e-28,8.045932173216985e-39,4.455748897761865e-82
3.319132868993899e-18,0.13078664456000774,0.46346346346346345,0.0,0.0,0.0,0.07307307307301408,9.251706307404997e-47,4.146279354516509e-22,2.0604077750510636e-26,3.403006572096947e-27,1.0378613327561963e-23,4.393148439820623e-34,2.8834894946406745e-22,1.3879726340825743e-28,0.0,0.46346346346346345,1.9024117365596995e-16,4.011826011972729e-14,4.0118260296143857e-14,3.733175298816084e-14,1.073780436130265e-16,8.286176130378817e-17,1.0750605838192383e-24,2.8432712129164124e-33,6.85266921210164e-39,7.831492135002059e-48,2.3375034650688503e-34,1.89563345109144e-35,2.808511511035733e-45,2.3585573190157325e-23,7.474742943030094e-24,1.9746495531486972e-32,4.759173218202313e-38,1.18713890427696e-27,6.476066191108982e-38,5.797037127090106e-80
6.649830660876279e-18,0.13078664456001546,0.46346346346346345,0.0,0.0,0.0,0.07307307307295491,1.4851037557605793e-45,1.6628434588190683e-21,8.263156730388115e-26,1.3647578297081693e-26,4.1622881568290316e-23,3.5252249278269825e-33,1.1564082460246933e-21,5.566391242125289e-28,0.0,0.46346346346346345,3.8114530070928426e-16,8.037630490487777e-14,8.037630561238711e-14,7.479358112758637e-14,2.1513022594302912e-16,1.660122371632142e-16,4.3114737092315196e-24,2.2811504767195242e-32,1.0998205878736594e-37,2.513566858261964e-46,1.8756945437329936e-33,1.5211218006873996e-34,4.508265929094216e-44,9.458869623088157e-23,2.9977062209943957e-23,1.5842571720216963e-31,7.638245152603791e-37,4.760913907033443e-27,5.196635266471892e-37,7.480732289856822e-78
