Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4661215677209732e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.0730730730730728,1.720760972875183e-55,1.2113893045874134e-26,6.0197485767445825e-31,9.942325194171646e-32,3.032246499696264e-28,9.895788193416046e-41,8.424488659420284e-27,4.055141955063275e-33,0.0,0.46346346346346345,8.403297845898668e-19,1.772096776390984e-16,1.7720967764425264e-16,1.649011679971329e-16,4.743084186162042e-19,3.6601552848575555e-19,3.1409289963951814e-29,6.405712860415276e-40,1.2747667711393577e-47,1.2430206469731684e-58,5.265357576581917e-41,4.2700227945587045e-42,5.22367976330915e-54,6.890831238002445e-28,2.1838431223046586e-28,4.448762349614597e-39,8.853244813834323e-47,3.468412124949506e-32,1.4587665278402214e-44,4.5312739141575645e-95,1.849535308786563e-105
4.105140389618725e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307233,3.8492734658649705e-54,7.316791399406268e-26,3.635928140394758e-30,6.005164416988763e-31,1.8314768858743103e-27,1.1748279742632439e-39,5.088391150010159e-26,2.449305741491597e-32,0.0,0.46346346346346345,2.352923401198704e-18,4.961870973794271e-16,4.961870974105587e-16,4.617232703616387e-16,1.3280635720872705e-18,1.0248434796477327e-18,1.8971211136116333e-28,7.604852681295382e-39,2.8515988280185928e-46,5.129345494825416e-57,6.251032398754016e-40,5.069370948335167e-41,1.168516236519039e-52,4.162062067371511e-27,1.3190412458222216e-27,5.281563976159317e-38,1.98043305714292e-45,2.0949207792651575e-31,1.7318476218434805e-43,4.8284238609665606e-93,3.5659733227036687e-103
9.383178033414228e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307138,7.605515710414969e-53,3.5227200972876316e-25,1.7505428861788585e-29,2.8912281660286702e-30,8.817772821983235e-27,1.1534530716413314e-38,2.4498413017398773e-25,1.1792352814824685e-31,0.0,0.46346346346346345,5.3781106518046834e-18,1.134141936819891e-15,1.1341419369697758e-15,1.0553674749693168e-15,3.0355738788769984e-18,2.3424993815221546e-18,9.133821518351338e-28,7.466469067751549e-38,5.634263837477157e-45,2.0291058183481077e-55,6.137300431155383e-39,4.977138217906395e-40,2.308791033964837e-51,2.0038537234381616e-26,6.3506157989150644e-27,5.1854566703261855e-37,3.912991634213797e-44,1.0086140296288295e-30,1.7003382648243158e-42,1.0988362150808687e-90,1.6182077202126036e-100
1.9939253321005235e-19,0.13078664456000047,0.46346346346346345,0.0,0.0,0.0,0.07307307307306951,1.353360884525949e-51,1.5384644163583618e-24,7.645080693101424e-29,1.2626752992087694e-29,3.850953055509635e-26,1.0202161792036065e-37,1.0699100593128498e-24,5.1500302927477235e-31,0.0,0.46346346346346345,1.142848522256987e-17,2.410051615540044e-15,2.410051616194632e-15,2.2426558836993364e-15,6.4505944918468334e-18,4.97781118347287e-18,3.9889798221505044e-27,6.603971061975255e-37,1.0025818152139894e-43,7.241646804925827e-54,5.428372290925098e-38,4.402221962272853e-39,4.1083697948783855e-50,8.75135566634262e-26,2.773480764555138e-26,4.586452510982539e-36,6.962922521837886e-43,4.404881163519451e-30,1.5039299394869475e-41,1.8569843346947607e-88,5.473499729851765e-98
4.105140389618725e-19,0.13078664456000094,0.46346346346346345,0.0,0.0,0.0,0.07307307307306576,2.2826409430443555e-50,6.4227860887135796e-24,3.19167069596218e-28,5.271420813890385e-29,1.6076970949447993e-25,8.575531708821604e-37,4.466663883322896e-24,2.1500362734101704e-30,0.0,0.46346346346346345,2.352923464231315e-17,4.961870972337251e-15,4.961870975070029e-15,4.6172326992180335e-15,1.3280635715348028e-17,1.0248434780181787e-17,1.6653205509444924e-26,5.550974575896793e-36,1.6909827815105972e-42,2.446729487151231e-52,4.562873258131589e-37,3.700332094447939e-38,6.929364491204286e-49,3.6535187170604585e-25,1.1578736227513326e-25,3.855147313333204e-35,1.1743861620308803e-41,1.8389500969995494e-29,1.2641437326616576e-40,2.7190332636559794e-86,1.6035997260908224e-95
8.327570504655128e-19,0.1307866445600019,0.46346346346346345,0.0,0.0,0.0,0.07307307307305826,3.749244602982926e-49,2.6239176857449962e-23,1.30390162120164e-27,2.153547402921315e-28,6.567967215024873e-25,7.030739000549969e-36,1.8247779382815982e-23,8.783599755153425e-30,0.0,0.46346346346346345,4.773073459465133e-17,1.006550968335927e-14,1.0065509694523558e-14,9.366386322490055e-15,2.69407181525965e-17,2.0789681944829563e-17,6.803377818424074e-26,4.550924267491083e-35,2.7773851960241335e-41,8.043921324948614e-51,3.7409179666446614e-36,3.0337546372148193e-37,1.1381496531533358e-47,1.4925816049648707e-24,4.730291550755924e-25,3.1606131938876988e-34,1.9288917549337524e-40,7.512702367185458e-29,1.0364214082950936e-39,3.718045660266446e-84,4.38654893931106e-93
1.6772430734727934e-18,0.13078664456000388,0.46346346346346345,0.0,0.0,0.0,0.07307307307304325,6.077687066351209e-48,1.0606294799216133e-22,5.270578830856574e-27,8.704982910833906e-28,2.6548773639283447e-24,5.693674716910807e-35,7.37604416960437e-23,3.5504714900073387e-29,0.0,0.46346346346346345,9.613373895073416e-17,2.0272787095113728e-14,2.0272787140241563e-14,1.886469353797261e-14,5.426088298807779e-17,4.18721761590449e-17,2.7500340804308853e-25,3.6852943975278902e-34,4.502069489602234e-40,2.608773689370084e-49,3.029490403361133e-35,2.4568112518789096e-36,1.8449878660805718e-46,6.033253471660569e-24,1.912059473210227e-24,2.5594339608395552e-33,3.12668359907904e-39,3.036747289061635e-28,8.393209273340029e-39,4.9174651362816655e-82,1.1604222688128645e-90
3.3662151194873545e-18,0.1307866445600078,0.46346346346346345,0.0,0.0,0.0,0.07307307307301325,9.787927652478619e-47,4.264744478596171e-22,2.1192765686695062e-26,3.500235330976506e-27,1.0675145137562457e-23,4.582764734653512e-34,2.9658749084626244e-22,1.4276289957598076e-28,0.0,0.46346346346346345,1.9293976546852582e-16,4.068734187746434e-14,4.0687342058921365e-14,3.786130784469177e-14,1.0890121250297774e-16,8.403716412715468e-17,1.105776600265393e-24,2.9659846884090965e-33,7.249827069694096e-39,8.402882723337175e-48,2.4383942878044417e-34,1.977452360626295e-35,2.9712903863012566e-45,2.4259446705633816e-23,7.688307026563752e-24,2.059873962699251e-32,5.034999029380573e-38,1.2210569985278882e-27,6.755585013586835e-38,6.397740885361289e-80,3.0194195028605444e-88
6.744159211516476e-18,0.13078664456001565,0.46346346346346345,0.0,0.0,0.0,0.07307307307295323,1.571179157085896e-45,1.7103532716592917e-21,8.499246923050467e-26,1.4037509102976182e-26,4.2812106761103983e-23,3.677380061404584e-33,1.189448481376129e-21,5.725430997544886e-28,0.0,0.46346346346346345,3.865518897266132e-16,8.151645127753233e-14,8.151645200525618e-14,7.58545359611463e-14,2.1818187090852717e-16,1.683671382220908e-16,4.434658670471663e-24,2.3795973864095854e-32,1.1635597526610027e-37,2.696943656246879e-46,1.9566527982745074e-33,1.586776052668849e-34,4.769560830811308e-44,9.729123037486498e-23,3.0833549697220626e-23,1.6526284720818314e-31,8.080913142607224e-37,4.896938733526384e-27,5.420931517827534e-37,8.25590421239879e-78,7.791740885279591e-86
