Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.486344889499203e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.0730730730730728,1.8176865523653733e-55,1.2450390074918864e-26,6.186963814988483e-31,1.0218500894002658e-31,3.1164755691336766e-28,1.0310962945987788e-40,8.658502233286275e-27,4.1677847871637634e-33,0.0,0.46346346346346345,8.519210878182315e-19,1.796540645248456e-16,1.7965406453014303e-16,1.6717577431576447e-16,4.808509127604438e-19,3.710642570295908e-19,3.228177024067696e-29,6.674462443134554e-40,1.346570737058798e-47,1.3311481130529907e-58,5.486264034019808e-41,4.4491702871314925e-42,5.517914809252187e-54,7.082243216826562e-28,2.2445054312563557e-28,4.635408715313513e-39,9.351922770692987e-47,3.564756902692663e-32,1.5199686292220551e-44,4.987324163591466e-95,2.0637615228351345e-105,3.190059854284424e-68
4.161765690597769e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307233,4.0660921101594716e-54,7.520035604936621e-26,3.736926144295794e-30,6.171974539674486e-31,1.8823512438169298e-27,1.2241175208852303e-39,5.229735348613479e-26,2.517342012106864e-32,0.0,0.46346346346346345,2.385379050358877e-18,5.030313806592403e-16,5.030313806912366e-16,4.680921680529644e-16,1.3463825556900829e-18,1.0389799195673494e-18,1.9498189223169764e-28,7.923911643661807e-39,3.0122211831412958e-46,5.493004750987388e-57,6.513292538481086e-40,5.282054845132055e-41,1.234335437100755e-52,4.277674902565252e-27,1.3556812804269573e-27,5.503150164953316e-38,2.0919851515990586e-45,2.153113018971976e-31,1.8045067566035174e-43,5.314380777173538e-93,3.979009420352684e-103,1.3163871029610016e-66
9.5126072927949e-20,0.13078664456000025,0.46346346346346345,0.0,0.0,0.0,0.07307307307307137,8.033912814466332e-53,3.6205734333148497e-25,1.7991690774627655e-29,2.971540059521215e-30,9.062710955943579e-27,1.2018458407907708e-38,2.517892449002504e-25,1.21199181709715e-31,0.0,0.46346346346346345,5.452294993311483e-18,1.1497860128867194e-15,1.149786013040768e-15,1.0699249554026602e-15,3.077445841392723e-18,2.3748112441808475e-18,9.387538782690185e-28,7.779721900437281e-38,5.951625486848049e-45,2.1729647541825388e-55,6.394788977661095e-39,5.1859525154541145e-40,2.4388386730769913e-51,2.0595163268561763e-26,6.527021793315262e-27,5.403010506841116e-37,4.133399040563835e-44,1.0366310819214683e-30,1.771675434193502e-42,1.2094286294348541e-90,1.805639848589519e-100,5.207496223959398e-65
2.021429049718916e-19,0.13078664456000047,0.46346346346346345,0.0,0.0,0.0,0.07307307307306947,1.4295918602720366e-51,1.5811995390274208e-24,7.857444045697848e-29,1.2977496130683845e-29,3.9579239737327115e-26,1.0630190354730668e-37,1.0996297831756414e-24,5.293086689927224e-31,0.0,0.46346346346346345,1.1586126950701955e-17,2.4432952771764362e-15,2.443295277849208e-15,2.273590529603234e-15,6.53957241217145e-18,5.046473891559766e-18,4.099784817157347e-27,6.881037601842259e-37,1.059054247113854e-43,7.755061612592074e-54,5.6561179696891e-38,4.5869158196459506e-39,4.339782585390039e-50,8.994448879200855e-26,2.850521896891412e-26,4.778874996758086e-36,7.355123100420193e-43,4.527238937477558e-30,1.5670268579244522e-41,2.0438805921344147e-88,6.10747828270998e-98,1.8585182373240978e-63
4.1617656905977683e-19,0.13078664456000097,0.46346346346346345,0.0,0.0,0.0,0.07307307307306567,2.411215625783971e-50,6.6011968133365085e-24,3.280328215303101e-28,5.417849169770472e-29,1.6523553475943235e-25,8.93531550621097e-37,4.5907378800229444e-24,2.2097595033605435e-30,0.0,0.46346346346346345,2.385379115142394e-17,5.030313805094908e-15,5.030313807903596e-15,4.680921676009113e-15,1.3463825551222687e-17,1.03897991789253e-17,1.7115794550929344e-26,5.783862260066267e-36,1.78623051662907e-42,2.620195666848894e-52,4.7543071823623495e-37,3.855578369732296e-38,7.319675868729655e-49,3.7550053480094516e-25,1.19003677892838e-25,4.0168876200157804e-35,1.240535636376651e-41,1.8900320137609017e-29,1.3171804944798864e-40,2.9926904546562418e-86,1.7893394659146744e-95,6.279511889318536e-62
8.442438972355473e-19,0.130786644560002,0.46346346346346345,0.0,0.0,0.0,0.07307307307305806,3.9604289054361025e-49,2.6968042880746927e-23,1.3401211106865458e-27,2.2133681640633095e-28,6.750410748875329e-25,7.325711494525107e-36,1.8754662142966695e-23,9.027588638334914e-30,0.0,0.46346346346346345,4.838912069663208e-17,1.0204350858288004e-14,1.0204350869762409e-14,9.495583960839793e-15,2.7312331819300306e-17,2.1076449724087144e-17,6.992360535238012e-26,4.741854025136984e-35,2.933825696935432e-41,8.614206768329157e-51,3.897866995661041e-36,3.1610348468984466e-37,1.20225837545553e-47,1.5340422050368143e-24,4.861688538190928e-25,3.293213755034085e-34,2.0375395553814436e-40,7.721388294998979e-29,1.0799041499748866e-39,4.0922484508681665e-84,4.894627216402661e-93,2.0645653400877625e-60
1.7003785535870882e-18,0.13078664456000394,0.46346346346346345,0.0,0.0,0.0,0.07307307307304285,6.420025921072663e-48,1.0900914098772366e-22,5.41698379843773e-27,8.94678799128337e-28,2.728623957451591e-24,5.932551089649618e-35,7.58093428503552e-23,3.649095698948958e-29,0.0,0.46346346346346345,9.7459784362105e-17,2.055242495409879e-14,2.0552425000480177e-14,1.9124908498576846e-14,5.500934431535612e-17,4.2449750696133936e-17,2.826423915703225e-25,3.8399051370996475e-34,4.7556526994648265e-40,2.7937227399956936e-49,3.1565916860680937e-35,2.5598859581293676e-36,1.948910742226086e-46,6.200843845339125e-24,1.9651722362853194e-24,2.6668109938574383e-33,3.3027969323258754e-39,3.1211011787359803e-28,8.745343789044549e-39,5.412383433721243e-82,1.29482908066236e-90,6.696363122689091e-59
3.41264786629017e-18,0.13078664456000794,0.46346346346346345,0.0,0.0,0.0,0.07307307307301243,1.0339253823951976e-46,4.383209602661968e-22,2.178145362289832e-26,3.597464089842688e-27,1.0971676947589489e-23,4.775033220305995e-34,3.04826032227172e-22,1.4672853574661463e-28,0.0,0.46346346346346345,1.956011299932776e-16,4.124857310341877e-14,4.1248573289916284e-14,3.838355744635373e-14,1.1040336914707007e-16,8.519635216711995e-17,1.1364926167018492e-24,3.090414170134024e-33,7.658171266237818e-39,8.998581162185146e-48,2.540696280341161e-34,2.0604156784412564e-35,3.1386545708630363e-45,2.4933320220934762e-23,7.901871110074528e-24,2.1462901372061546e-32,5.318593743971578e-38,1.2549750861519953e-27,7.039013506706714e-38,7.041641297189243e-80,3.3691422137000545e-88,2.1573193126670467e-57
6.8371864916963335e-18,0.13078664456001587,0.46346346346346345,0.0,0.0,0.0,0.07307307307295158,1.6596792175321818e-45,1.7578630844883886e-21,8.735337115727937e-26,1.4427439908763354e-26,4.400133195413065e-23,3.8316634110460866e-33,1.2224887167172496e-21,5.884470753198038e-28,0.0,0.46346346346346345,3.918838944565297e-16,8.264086923285233e-14,8.264086998079078e-14,7.690085483111858e-14,2.2119141816890715e-16,1.706895532166617e-16,4.5578436316339876e-24,2.479420637432042e-32,1.2290939997063948e-37,2.888120355691918e-46,2.0387434199112997e-33,1.6533486126131632e-34,5.038216116547555e-44,9.999376451743985e-23,3.169003718431373e-23,1.721955640120786e-31,8.536047964706181e-37,5.032963506844503e-27,5.648365033645251e-37,9.086818778682804e-78,8.694195134123684e-86,6.926678905566451e-56
