Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5062967203523322e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307279,1.917267627184355e-55,1.2786887103963288e-26,6.3541790532324185e-31,1.0494676593833372e-31,3.200704638571142e-28,1.0731786767467238e-40,8.892515807151984e-27,4.2804276192648685e-33,0.0,0.46346346346346345,8.633567819107191e-19,1.8206563638325866e-16,1.820656363886993e-16,1.694198448509807e-16,4.87305576240302e-19,3.7604520818263712e-19,3.315425051740001e-29,6.946868755808978e-40,1.4203419331127565e-47,1.4229218314266274e-58,5.710176251699389e-41,4.63075534723258e-42,5.820211089163794e-54,7.2736551956503005e-28,2.3051677402080017e-28,4.824594676979929e-39,9.864263124769474e-47,3.661101680294664e-32,1.5820034760583878e-44,5.475252483094127e-95,2.296079832644983e-105,3.4099931997230778e-68,4.947410297808156e-102
4.2176308169865305e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307231,4.2888509912851807e-54,7.723279810466625e-26,3.8379241481968776e-30,6.338784662359869e-31,1.9332256017596168e-27,1.274077724967851e-39,5.371079547216474e-26,2.5853782827228674e-32,0.0,0.46346346346346345,2.4173989939385947e-18,5.097837818625176e-16,5.097837818953789e-16,4.743755655507273e-16,1.3644556134326279e-18,1.0529265827927573e-18,2.0025167310220742e-28,8.247311860975194e-39,3.1772441432703983e-46,5.871710302674712e-57,6.779121116587835e-40,5.497632621923598e-41,1.3019579033829831e-52,4.3932877377585464e-27,1.392321315031635e-27,5.727751351763149e-38,2.2065934626385793e-45,2.2113052585112166e-31,1.878154526767125e-43,5.834306249589263e-93,4.426927670212746e-103,1.4071432114310307e-66,6.435214520640351e-100
9.640299010254926e-20,0.13078664456000025,0.46346346346346345,0.0,0.0,0.0,0.07307307307307136,8.474046825482846e-53,3.718426769341724e-25,1.8477952687467197e-29,3.0518519530134283e-30,9.307649089904585e-27,1.2508970654118125e-38,2.5859435962648124e-25,1.2447483527125537e-31,0.0,0.46346346346346345,5.525483436348669e-18,1.1652200727786093e-15,1.1652200729368217e-15,1.0842870068221463e-15,3.1187556876564085e-18,2.406689331538492e-18,9.641256047026622e-28,8.097236971506011e-38,6.277681946406162e-45,2.3227757966092094e-55,6.65578103774881e-39,5.397608041170491e-40,2.572449260933552e-51,2.1151789302737554e-26,6.703427787714891e-27,5.62352446443389e-37,4.359844985490478e-44,1.0646481340495798e-30,1.843983251664414e-42,1.3277514915894656e-90,2.008901107048518e-100,5.566518343257384e-65,1.4257000193879217e-97
2.048563539679172e-19,0.13078664456000047,0.46346346346346345,0.0,0.0,0.0,0.07307307307306943,1.5079113559033048e-51,1.6239346616961762e-24,8.069807398294687e-29,1.3328239269277054e-29,4.0648948919563725e-26,1.106404288150044e-37,1.129349507038151e-24,5.43614308711312e-31,0.0,0.46346346346346345,1.1741652394586111e-17,2.4760926544410852e-15,2.4760926551320402e-15,2.3041098888526845e-15,6.6273558354604815e-18,5.114214827131936e-18,4.210589812162058e-27,7.161873987314072e-37,1.1170738583928792e-43,8.289718648460069e-54,5.886962465864866e-38,4.7741227104991316e-39,4.577535451382012e-50,9.237542092055233e-26,2.927563029227184e-26,4.973915637231018e-36,7.758068827166129e-43,4.649596709980445e-30,1.630982303615644e-41,2.2438409617599855e-88,6.794997414324361e-98,1.9866506668993e-63,2.356517855117149e-95
4.2176308169865303e-19,0.130786644560001,0.46346346346346345,0.0,0.0,0.0,0.07307307307306557,2.5433129025770813e-50,6.779607537956879e-24,3.36898573464437e-28,5.56427752564809e-29,1.6970136002443379e-25,9.299994696319891e-37,4.71481187672062e-24,2.26948273331629e-30,0.0,0.46346346346346345,2.4173990604730175e-17,5.097837817087212e-15,5.097837819971811e-15,4.743755650864566e-15,1.3644556128494678e-17,1.0529265810726726e-17,1.7578383592395866e-26,6.01991863245162e-36,1.8840877431395576e-42,2.8008388332073866e-52,4.948345848209099e-37,4.0129369999693207e-38,7.720680705368643e-49,3.8564919789552043e-25,1.222199935105006e-25,4.1808285780829877e-35,1.3084974003670808e-41,1.941113929299056e-29,1.3709389001849036e-40,3.285476375272324e-86,1.9907649198900776e-95,6.712442310485099e-62,3.4100864439069935e-93
8.555765371601248e-19,0.130786644560002,0.46346346346346345,0.0,0.0,0.0,0.07307307307305787,4.177399079208542e-49,2.7696908904022906e-23,1.3763406001717375e-27,2.2731889252032807e-28,6.932854282729803e-25,7.624697527209429e-36,1.926154490309795e-23,9.271577521560451e-30,0.0,0.46346346346346345,4.903866819969501e-17,1.0341328139664159e-14,1.0341328151448684e-14,9.623047166691547e-15,2.7678956704267275e-17,2.1359367747547917e-17,7.181343252037272e-26,4.935381510413003e-35,3.094552121936651e-41,9.208086718404852e-51,4.056951547362549e-36,3.2900468909767706e-37,1.2681235000286514e-47,1.5755028051061016e-24,4.993085525622469e-25,3.42761843590911e-34,2.1491639266231648e-40,7.930074212784011e-29,1.1239785389128193e-39,4.492608138350679e-84,5.445610900617483e-93,2.2069033255148955e-60,4.63532482261229e-91
1.7232034480830682e-18,0.130786644560004,0.46346346346346345,0.0,0.0,0.0,0.07307307307304245,6.77174392256101e-48,1.1195533398311614e-22,5.563388766021198e-27,9.188593071716446e-28,2.8023705509780925e-24,6.174677730077785e-35,7.785824400450919e-23,3.747719907926249e-29,0.0,0.46346346346346345,9.876802808833154e-17,2.0828308773956833e-14,2.0828308821591766e-14,1.9381630165558388e-14,5.574775781462927e-17,4.301957149971673e-17,2.9028137509636794e-25,3.996619333785391e-34,5.016183014980773e-40,2.986323409028249e-49,3.285422367394314e-35,2.6643631458279232e-36,2.0556808169554307e-46,6.368434218996173e-24,2.0182849993576084e-24,2.7756488761413058e-33,3.4837350248211285e-39,3.2054550602890464e-28,9.102269617638197e-39,5.941896670854244e-82,1.4405851265897393e-90,7.1580325442749665e-59,6.112392516264676e-89
3.458457269928955e-18,0.13078664456000805,0.46346346346346345,0.0,0.0,0.0,0.07307307307301161,1.0905684822241424e-46,4.501674726714086e-22,2.2370141559120176e-26,3.6946928486956786e-27,1.1268208757642705e-23,4.969917804137044e-34,3.130645736068135e-22,1.5069417192011954e-28,0.0,0.46346346346346345,1.9822676666043199e-16,4.1802269999097295e-14,4.180227019063527e-14,3.889879603214355e-14,1.1188535987062053e-16,8.633997851816007e-17,1.1672086331287385e-24,3.216536294677765e-33,8.077701752499149e-39,9.618922558379334e-48,2.644390238482114e-34,2.1445078305971105e-35,3.3106040642666176e-45,2.5607193736062563e-23,8.115435193562741e-24,2.233881850797868e-32,5.609957327784639e-38,1.2888931672394667e-27,7.326298465271013e-38,7.730550516776305e-80,3.7483903970292814e-88,2.3060519944433262e-57,7.94052741938699e-87
6.9289649136207285e-18,0.1307866445600161,0.46346346346346345,0.0,0.0,0.0,0.07307307307294995,1.7506039372331135e-45,1.805372897306511e-21,8.971427308420332e-26,1.4817370714444673e-26,4.519055714736741e-23,3.988046014680099e-33,1.2555289520481969e-21,6.043510509081566e-28,0.0,0.46346346346346345,3.9714431898394276e-16,8.375019227559868e-14,8.375019304375166e-14,7.793312724071988e-14,2.2416056332367193e-16,1.7298079061146979e-16,4.681028592719555e-24,2.580601482127517e-32,1.296423313210467e-37,3.087204418028385e-46,2.1219509984848007e-33,1.7208269834149416e-34,5.314231784843828e-44,1.026962986586253e-22,3.254652467122583e-23,1.7922256559044386e-31,9.003649509180756e-37,5.168988227711481e-27,5.8788931201047054e-37,9.975814421270923e-78,9.672814077446963e-86,7.40422660749993e-56,1.0239186649808127e-84
