Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157),C6H10(176),C6H10(175)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5454278268983584e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307279,2.1243962628078134e-55,1.3459881162051283e-26,6.688609529720417e-31,1.1047027993493981e-31,3.3691627774462487e-28,1.1590085160630092e-40,9.360542954882609e-27,4.505713283468912e-33,0.0,0.46346346346346345,8.857853684040487e-19,1.8679540158774341e-16,1.8679540159347035e-16,1.7382109323046837e-16,4.999649720726009e-19,3.8581424299976487e-19,3.4899211070840066e-29,7.502459669375923e-40,1.5737860153377245e-47,1.6176031763288423e-58,6.166860228998034e-41,5.0011102493223037e-42,6.448987350866326e-54,7.6564791532966895e-28,2.426492358111155e-28,5.2104521126779355e-39,1.0929931022586276e-46,3.8537912350826273e-32,1.7085277045885477e-44,6.551964440606697e-95,2.8189835766373416e-105,3.876542051290815e-68,5.920321754511702e-102,6.3424641530188805e-112,5.88951891375332e-113
4.3271979153154036e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307229,4.7521894640265395e-54,8.129768221525606e-26,4.039920155999185e-30,6.672404907729644e-31,2.0349743176451904e-27,1.3759749101970295e-39,5.653767944421513e-26,2.7214508239570455e-32,0.0,0.46346346346346345,2.4801990363614212e-18,5.230271244345167e-16,5.230271244691072e-16,4.866990610116075e-16,1.3999019217609477e-18,1.0802798802744715e-18,2.107912348431547e-28,8.906908234807108e-39,3.52049187736551e-46,6.675065582613232e-57,7.321296320454073e-40,5.937317948038738e-41,1.4426126330380678e-52,4.6245134081438355e-27,1.4656013842408203e-27,6.185840494712379e-38,2.4449787336467138e-45,2.3276897370957695e-31,2.0283640908771153e-43,6.981626358837577e-93,5.435105446955785e-103,1.5996658963075726e-66,7.700703646400177e-100,1.4411061423515764e-109,1.3848031924268842e-110
9.890738092149493e-20,0.13078664456000025,0.46346346346346345,0.0,0.0,0.0,0.0730730730730713,9.389525568396703e-53,3.9141334413944584e-25,1.945047651314766e-29,3.212475739996877e-30,9.797525357828541e-27,1.3509403260968166e-38,2.722045890788489e-25,1.3102614239454927e-31,0.0,0.46346346346346345,5.669026391596507e-18,1.1954905700834038e-15,1.1954905702499426e-15,1.1124549964390703e-15,3.1997758209683025e-18,2.4692111543244047e-18,1.0148690575692402e-27,8.744830148232311e-38,6.955879291407033e-45,2.6405727596488213e-55,7.18809183834171e-39,5.829293672744367e-40,2.8503592828367424e-51,2.2265041371076296e-26,7.056239776512478e-27,6.073277396886645e-37,4.830852487825582e-44,1.1206822378208586e-30,1.9914598924360076e-42,1.588854680590528e-90,2.4664032010352465e-100,6.328118894715275e-65,1.70606485645174e-97,6.424160524345249e-107,6.123710363910707e-108
2.1017818445817672e-19,0.1307866445600005,0.46346346346346345,0.0,0.0,0.0,0.07307307307306933,1.6708159068161684e-51,1.70940490703279e-24,8.49453410348959e-29,1.402972554645482e-29,4.2788367284054136e-26,1.1948914192452403e-37,1.1887889547623385e-24,5.722255881503751e-31,0.0,0.46346346346346345,1.2046681179348042e-17,2.540417461202539e-15,2.5404174619298595e-15,2.363966866754734e-15,6.799523618705658e-18,5.247073700426352e-18,4.4321998021652075e-27,7.734658452149873e-37,1.237754617419245e-43,9.423896272009417e-54,6.357785288073255e-38,5.155943711523585e-39,5.072061409652932e-50,9.723728517752635e-26,3.081645293897249e-26,5.3717139805211294e-36,8.596195713557236e-43,4.894312250696934e-30,1.761423722254451e-41,2.685093725947917e-88,8.342471879590856e-98,2.2584604623316821e-63,2.8199286253427714e-95,2.1319517777746006e-104,2.025896154798947e-105
4.327197915315403e-19,0.130786644560001,0.46346346346346345,0.0,0.0,0.0,0.07307307307306538,2.818075238306157e-50,7.136428987190078e-24,3.5463007733279362e-28,5.857134237396053e-29,1.7863301055458107e-25,1.004378235022014e-36,4.9629598701089836e-24,2.3889291932436198e-30,0.0,0.46346346346346345,2.4801991063976562e-17,5.2302712427262554e-15,5.230271245762676e-15,4.866990605229013e-15,1.3999019211470947e-17,1.0802798784638564e-17,1.850356167527614e-26,6.501371142973175e-36,2.087630664697031e-42,3.1840402171405474e-52,5.344100710842756e-37,4.333880471271755e-38,8.55477075546712e-49,4.0594652408371617e-25,1.2865262474570128e-25,4.5151969539233007e-35,1.4498577933654908e-41,2.0432777567699644e-29,1.4805827722294174e-40,3.931567378621542e-86,2.4441356830938817e-95,7.630825962994144e-62,4.080682162300421e-93,6.1824289557010996e-102,5.865790098932623e-103
8.778030056782675e-19,0.13078664456000205,0.46346346346346345,0.0,0.0,0.0,0.07307307307305747,4.628697040653278e-49,2.915464095051304e-23,1.4487795791429626e-27,2.392830447477258e-28,7.297741350450595e-25,8.234499582894455e-36,2.027531042330316e-23,9.759555288141362e-30,0.0,0.46346346346346345,5.03126120697354e-17,1.0609978802915473e-14,1.0609978815320236e-14,9.87303807354938e-15,2.839801038616385e-17,2.1914248921096255e-17,7.559308685592531e-26,5.330093321973452e-35,3.428862725668528e-41,1.0467892746036795e-50,4.381415148896627e-36,3.5531755974865186e-37,1.405122955816604e-47,1.6584240052368477e-24,5.255879500475352e-25,3.70174546751944e-34,2.3813423686132316e-40,8.347446018794912e-29,1.2138712096080142e-39,5.376082274859496e-84,6.685774008930855e-93,2.5088476365778554e-60,5.546864464510925e-91,1.6823836387047345e-99,1.5950071493546207e-100
1.7679694339717217e-18,0.1307866445600041,0.46346346346346345,0.0,0.0,0.0,0.07307307307304164,7.50331736565048e-48,1.1784771997340023e-22,5.8561987011949475e-27,9.672203232534288e-28,2.9498637380406854e-24,6.668511243759452e-35,8.195604631235288e-23,3.9449683259859706e-29,0.0,0.46346346346346345,1.0133385902726027e-16,2.1369393911861044e-14,2.1369393962003082e-14,1.988513297567735e-14,5.719599269219891e-17,4.413714906614473e-17,3.0555934214495556e-25,4.316247685311186e-34,5.55808490284588e-40,3.394888995933218e-49,3.54818116877421e-35,2.8774513646768447e-36,2.2777625616107452e-46,6.70361496624686e-24,2.1245105254939222e-24,2.997630506638355e-33,3.860085445801332e-39,3.3741627994575373e-28,9.830243771004544e-39,7.110374044752539e-82,1.7686565994719613e-90,8.13738076592664e-59,7.314398482366804e-89,4.4389690446283533e-97,4.2068870859683504e-98
3.548302290558631e-18,0.13078664456000824,0.46346346346346345,0.0,0.0,0.0,0.07307307307301002,1.2083861298663186e-46,4.738604974778016e-22,2.3547517431618702e-26,3.889150366362781e-27,1.1861272377826335e-23,5.367397976564218e-34,3.295416563623601e-22,1.586254442755918e-28,0.0,0.46346346346346345,2.033763727263389e-16,4.288822408402072e-14,4.2888224285639654e-14,3.990932264188224e-14,1.1479195713086613e-16,8.858294884477403e-17,1.2286406659543215e-24,3.473769602092994e-33,8.95032140052114e-39,1.0934852301259728e-47,2.855881002342553e-34,2.316019397530101e-35,3.668258975811629e-45,2.6954940765807836e-23,8.542563360472658e-24,2.4125301750039263e-32,6.215990968592769e-38,1.356729310147546e-27,7.912235395943262e-38,9.25076707068526e-80,4.602019160579812e-88,2.6215614808516056e-57,9.502037328280525e-87,1.1535056877583081e-94,1.0930224905980716e-95
7.108968003732448e-18,0.1307866445600165,0.46346346346346345,0.0,0.0,0.0,0.07307307307294675,1.9397273542045386e-45,1.900392522910409e-21,9.443607693849096e-26,1.559723232549532e-26,4.756900753446035e-23,4.30699881753094e-33,1.3216094226801052e-21,6.361590021527663e-28,0.0,0.46346346346346345,4.0746147926061177e-16,8.592588424541425e-14,8.592588505399635e-14,7.995770142208781e-14,2.299838853145889e-16,1.774745463561621e-16,4.927398514664445e-24,2.7869646398896127e-32,1.436467077450685e-37,3.5095173013615976e-46,2.291658409031998e-33,1.8584536208996189e-34,5.888344263377117e-44,1.081013669369012e-22,3.4259499644516446e-23,1.9355447041301053e-31,9.976252333693191e-37,5.4410375148447136e-27,6.349070605505798e-37,1.193756162316765e-77,1.1875570269431475e-85,8.417257619917834e-56,1.2252729570126923e-84,2.9747039533492477e-92,2.8186297843548636e-93
