Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157),C6H10(176),C6H10(175),C6H10(182)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5646264242162016e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307279,2.2319438236122864e-55,1.3796378191094855e-26,6.8558247679644734e-31,1.1323203693323868e-31,3.4533918468838823e-28,1.2027418566714802e-40,9.594556528747524e-27,4.618356115571834e-33,0.0,0.46346346346346345,8.967893352868848e-19,1.891159303328731e-16,1.891159303387432e-16,1.7598044426323344e-16,5.06175955209134e-19,3.906071502848355e-19,3.577169134755711e-29,7.785552891232464e-40,1.65345890136779e-47,1.7206068028647217e-58,6.399556877129694e-41,5.1898191784935225e-42,6.775467332644239e-54,7.8478911321193406e-28,2.487154667062662e-28,5.407060124043674e-39,1.1483258565347783e-46,3.9501360122721114e-32,1.7729962766564802e-44,7.143401494375454e-95,3.111630349963021e-105,4.123387620550324e-68,6.454741273359186e-102,7.000893137425219e-112,6.500926816466353e-113,4.21709693290995e-119
4.3809539878053643e-20,0.1307866445600001,0.46346346346346345,0.0,0.0,0.0,0.07307307307307229,4.992769055642181e-54,8.333012427054588e-26,4.1409181599004106e-30,6.839215030414038e-31,2.085848675588075e-27,1.4278951321637112e-39,5.795112143023561e-26,2.7894870945752013e-32,0.0,0.46346346346346345,2.5110101437541144e-18,5.295246049206006e-16,5.295246049560561e-16,4.927452439025073e-16,1.4172926745421821e-18,1.0937000206695476e-18,2.160610157135929e-28,9.242995906134126e-39,3.698716650749914e-46,7.100111453979338e-57,7.597553773855729e-40,6.161353181665501e-41,1.5156448964055584e-52,4.7401262433358365e-27,1.5022414188453298e-27,6.41925310797488e-38,2.5687556932114274e-45,2.385881976145267e-31,2.1049011796356372e-43,7.611848415930961e-93,5.999339245309493e-103,1.7015274089023822e-66,8.395835855111187e-100,1.5907113099875048e-109,1.5285635807930652e-110,1.7289585804341205e-116
1.001360911498369e-19,0.13078664456000025,0.46346346346346345,0.0,0.0,0.0,0.07307307307307129,9.864870300294037e-53,4.011986777420328e-25,1.993673842598859e-29,3.2927876334881206e-30,1.0042463491791478e-26,1.4019159078985975e-38,2.7900970380498647e-25,1.3430179595630092e-31,0.0,0.46346346346346345,5.739451780491925e-18,1.2103419540502798e-15,1.2103419542209824e-15,1.1262748430428688e-15,3.239526113034706e-18,2.4998857609270048e-18,1.040240784002181e-27,9.074801742485565e-38,7.308020174549046e-45,2.8087153873878722e-55,7.459323028897194e-39,6.049252778621892e-40,2.9946587168621457e-51,2.2821667405239353e-26,7.232645770910451e-27,6.302442399663324e-37,5.075414043636268e-44,1.1486992894681359e-30,2.0666044600367497e-42,1.7322784620407305e-90,2.722447457431213e-100,6.7310728849368745e-65,1.8600690470210082e-97,7.091069179673036e-107,6.7594301379358976e-108,1.5394386736924454e-113
2.1278919369340341e-19,0.1307866445600005,0.46346346346346345,0.0,0.0,0.0,0.07307307307306929,1.75540096209776e-51,1.7521400297006556e-24,8.706897456087645e-29,1.4380468685039456e-29,4.3858076466307793e-26,1.2399787440548983e-37,1.2185086786240232e-24,5.86531227870833e-31,0.0,0.46346346346346345,1.219633513318094e-17,2.5719766521265338e-15,2.571976652872037e-15,2.3933340407708487e-15,6.883992989325465e-18,5.312257239394052e-18,4.543004797163698e-27,8.026512323382986e-37,1.3004157643454783e-43,1.002397611372879e-53,6.597686177166837e-38,5.35049502301662e-39,5.328834501856119e-50,9.966821730595754e-26,3.1586864262315546e-26,5.5744062558683674e-36,9.031376867500165e-43,5.0166700189469e-30,1.8278882413101562e-41,2.9274735300202216e-88,9.208526718500014e-98,2.402271862151811e-63,3.0744798071428567e-95,2.3532745142161054e-104,2.2362100920416177e-105,1.0221621377703272e-110
4.380953987805365e-19,0.13078664456000103,0.46346346346346345,0.0,0.0,0.0,0.07307307307306529,2.9607402972421115e-50,7.314839711802976e-24,3.634958292670225e-28,6.003562593266462e-29,1.8309883581972586e-25,1.0422768482162301e-36,5.08703386679973e-24,2.4486524232150695e-30,0.0,0.46346346346346345,2.5110102155412555e-17,5.295246047546624e-15,5.295246050658954e-15,4.927452434015835e-15,1.4172926739129828e-17,1.093700018813667e-17,1.8966150716690352e-26,6.746688093499063e-36,2.1933163569697793e-42,3.3867873787641894e-52,5.545751817216478e-37,4.497412526264205e-38,8.987855968670653e-49,4.160951871773448e-25,1.318689403632405e-25,4.685569375965725e-35,1.5232564204468806e-41,2.0943596687332856e-29,1.5364502052800704e-40,4.286464667457324e-86,2.69786772200512e-95,8.116732064522685e-62,4.449039878159029e-93,6.824237001718089e-102,6.47473357421546e-103,5.929608540184708e-108
8.887078089548025e-19,0.13078664456000205,0.46346346346346345,0.0,0.0,0.0,0.07307307307305728,4.863024828325525e-49,2.988350697372772e-23,1.4849990686289891e-27,2.452651208611316e-28,7.480184884316817e-25,8.545215310854237e-36,2.0782193183377595e-23,1.0003544171495636e-29,0.0,0.46346346346346345,5.093763746729013e-17,1.0741784835457132e-14,1.0741784848172014e-14,9.99568921166191e-15,2.875079422762993e-17,2.2186486052856006e-17,7.748291402348898e-26,5.531212725471125e-35,3.6024468952787357e-41,1.113443993001444e-50,4.5467408336758694e-36,3.6872489827061275e-37,1.4762572869472796e-47,1.6998846052983727e-24,5.387276487896777e-25,3.84142272943237e-34,2.5018964330278097e-40,8.556131907271385e-29,1.259674706585556e-39,5.861373928449871e-84,7.379839423033591e-93,2.668602855837495e-60,6.047572494722655e-91,1.8570325155221336e-99,1.7605888264140385e-100,3.227533423652964e-105
1.7899326293033345e-18,0.1307866445600042,0.46346346346346345,0.0,0.0,0.0,0.07307307307304127,7.88317280725144e-48,1.2079391296829612e-22,6.002603668785168e-27,9.914008312919472e-28,3.0236103315766962e-24,6.92013689548849e-35,8.400494746604655e-23,4.0435925350675114e-29,0.0,0.46346346346346345,1.0259271316070268e-16,2.1634862399559462e-14,2.1634862450955047e-14,2.0132162731578478e-14,5.790652916019563e-17,4.4685457651231104e-17,3.1319832566752745e-25,4.479109263996881e-34,5.8394564456172004e-40,3.6110553031535746e-49,3.682066072424119e-35,2.9860273488190475e-36,2.3930742312637616e-46,6.871205339841042e-24,2.177623288558018e-24,3.110737740755282e-33,4.055497753745727e-39,3.4585166572759113e-28,1.0201172364797855e-38,7.752217736092316e-82,1.9522637779364995e-90,8.655542497691207e-59,7.974659446546282e-89,4.89976892108532e-97,4.6436128959819264e-98,1.7032639212449685e-102
3.592382270000399e-18,0.13078664456000838,0.46346346346346345,0.0,0.0,0.0,0.07307307307300924,1.2695606776794983e-46,4.857070098790167e-22,2.4136205367894894e-26,3.9863791251772206e-27,1.2157804187956083e-23,5.569928191011342e-34,3.3778019773829665e-22,1.6259108045748752e-28,0.0,0.46346346346346345,2.059028848261574e-16,4.3421017480889374e-14,4.3421017687548786e-14,4.0405109629909275e-14,1.1621799884758905e-16,8.968340032372693e-17,1.2593566823532533e-24,3.6048384671065705e-33,9.403410467019421e-39,1.163108903175129e-47,2.9636430237405415e-34,2.4034106034260486e-35,3.85396439307371e-45,2.762881428042962e-23,8.756127443894925e-24,2.5035573959005195e-32,6.530660959432155e-38,1.3906473721315032e-27,8.210790998142633e-38,1.0085820766539259e-79,5.079756750637046e-88,2.7884938675894107e-57,1.0359773546253315e-86,1.2732428425677556e-94,1.2064906024502062e-95,8.852384663380676e-100
7.197281551394528e-18,0.13078664456001673,0.46346346346346345,0.0,0.0,0.0,0.0730730730729452,2.0379260514748675e-45,1.9479023356964586e-21,9.679697886585093e-26,1.5987163130867285e-26,4.875823272831124e-23,4.4695165581103136e-33,1.3546496579813202e-21,6.520629778084473e-28,0.0,0.46346346346346345,4.125233092715852e-16,8.699332745605022e-14,8.699332828484688e-14,8.095100286056155e-14,2.32840937511424e-16,1.796792835717013e-16,5.050583475525686e-24,2.8921129955568356e-32,1.5091814976171336e-37,3.7329540361276204e-46,2.3781303287783356e-33,1.9285792517319064e-34,6.186441070790797e-44,1.1080390107402616e-22,3.51159871308995e-23,2.0085701531859747e-31,1.048125340143745e-36,5.577062082421741e-27,6.588642673664973e-37,1.3015147617336884e-77,1.3108349123539786e-85,8.953240466946073e-56,1.3358767218989932e-84,3.283456728417936e-92,3.111231077197673e-93,4.565798644661986e-97
1.4407080114182786e-17,0.1307866445600335,0.46346346346346345,0.0,0.0,0.0,0.07307307307281709,3.2659954695081457e-44,7.801769453792665e-21,3.8769280709708623e-25,6.403204022052503e-26,1.9528725429730835e-22,3.5810521199963986e-32,5.425664360228456e-21,2.6116532502027873e-27,0.0,0.46346346346346345,8.257644826205167e-16,1.7413794665637605e-13,1.7413794997588563e-13,1.620427870578289e-13,4.66086811995286e-16,3.596710416795814e-16,2.0228676950810373e-23,2.3163403838829297e-31,2.417747317167624e-36,1.1955674413733417e-44,1.9053876926969677e-32,1.5452000286069617e-33,9.914355449591575e-43,4.437935425221483e-22,1.4064711099563727e-22,1.6086965688152185e-30,1.6791236098797353e-35,2.2336890664085166e-26,5.2789318096259497e-36,1.6726978879099575e-75,3.368218466342591e-83,2.869843147529395e-54,1.7162397723499443e-82,8.434125367677499e-90,7.992441664461615e-91,2.345626407542547e-94
