Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157),C6H10(176),C6H10(175),C6H10(182),C6H10(185)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5835922854571408e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307277,2.3421468797452486e-55,1.413287522013813e-26,7.023040006208567e-31,1.159937939315347e-31,3.5376209163215675e-28,1.2470118361478346e-40,9.828570102612173e-27,4.7309989476753406e-33,0.0,0.46346346346346345,9.076599059620906e-19,1.9140832833763866e-16,1.914083283436519e-16,1.7811361844152495e-16,5.123116453529001e-19,3.95341955281481e-19,3.664417162427215e-29,8.072119859037796e-40,1.7350990172504146e-47,1.827448729131966e-58,6.635108876815332e-41,5.38084369895146e-42,7.110008548364705e-54,8.039303110941629e-28,2.5478169760141205e-28,5.606080649133966e-39,1.2050248503369041e-46,4.0464807893275054e-32,1.8382559234753867e-44,7.772023013223613e-95,3.426492023855843e-105,4.379431590567911e-68,7.0227604864807245e-102,7.709304060976791e-112,7.158746437343025e-113,4.7001100511202943e-119,4.364453109840427e-120
4.4340583992799944e-20,0.1307866445600001,0.46346346346346345,0.0,0.0,0.0,0.07307307307307229,5.239288884087786e-54,8.53625663258323e-26,4.241916163801678e-30,7.006025153098107e-31,2.136723033531021e-27,1.4804524517942543e-39,5.936456341625295e-26,2.8575233651940535e-32,0.0,0.46346346346346345,2.5414477417654435e-18,5.359433193336651e-16,5.359433193699853e-16,4.98718131600881e-16,1.4344726069436686e-18,1.1069574746570333e-18,2.213307965840076e-28,9.583207593795764e-39,3.881342027977215e-46,7.540996102792708e-57,7.877201100443e-40,6.388137485092912e-41,1.5904804254628239e-52,4.855739078527411e-27,1.5388814534497832e-27,6.655529847214391e-38,2.6955888685515203e-45,2.4440742150355736e-31,2.1823774323385037e-43,8.281693404622516e-93,6.606404182794137e-103,1.807184667189178e-66,9.134671987180217e-100,1.7516732124657681e-109,1.6832366758630246e-110,1.926988069211691e-116,1.8515500876290217e-117
1.0134990626925702e-19,0.13078664456000025,0.46346346346346345,0.0,0.0,0.0,0.07307307307307127,1.035195193915161e-52,4.1098401134458677e-25,2.042300033882993e-29,3.373099526979045e-30,1.0287401625755026e-26,1.453516995964501e-38,2.8581481853109354e-25,1.375774495181211e-31,0.0,0.46346346346346345,5.809023433658506e-18,1.2250133012788253e-15,1.2250133014536913e-15,1.1399271577780365e-15,3.2787945299474008e-18,2.530188512883684e-18,1.0656125104348916e-27,9.408822288964033e-38,7.66885586327563e-45,2.9831236133852224e-55,7.733882416668269e-39,6.2719109371608805e-40,3.142521099589485e-51,2.337829343939826e-26,7.40905176530788e-27,6.534419396455485e-37,5.326014134827219e-44,1.1767163409591185e-30,2.142671104367186e-42,1.8847194946458587e-90,2.997928091385335e-100,7.14904246645072e-65,2.0237556940456355e-97,7.808604503801109e-107,7.44340592784564e-108,1.715761087791279e-113,1.6355317923234283e-114
2.1536855082217117e-19,0.1307866445600005,0.46346346346346345,0.0,0.0,0.0,0.07307307307306925,1.8420745372627836e-51,1.794875152368231e-24,8.919260808686082e-29,1.4731211823621286e-29,4.4927785648566954e-26,1.2856193220711963e-37,1.248228402485439e-24,6.008368675918975e-31,0.0,0.46346346346346345,1.2344174898590066e-17,2.6031532649815753e-15,2.6031532657452617e-15,2.422345209566123e-15,6.967438375243641e-18,5.3766505872391695e-18,4.6538097921601605e-27,8.321947391029827e-37,1.36462408900825e-43,1.064641696801045e-53,6.84053081833149e-38,5.5474336153637093e-39,5.591947669388064e-50,1.0209914943435205e-25,3.23572755856538e-26,5.779585669203877e-36,9.47730315819941e-43,5.139027785814459e-30,1.8951683267910407e-41,3.1850920864110883e-88,1.0140323904045102e-97,2.5514422189935084e-63,3.345034973799701e-95,2.591398874960592e-104,2.46248792050241e-105,1.1392372620692952e-110,1.0825702279439151e-111
4.434058399279994e-19,0.13078664456000105,0.46346346346346345,0.0,0.0,0.0,0.0730730730730652,3.1069279502256588e-50,7.493250436413431e-24,3.7236158120128387e-28,6.149990949134514e-29,1.8756466108491696e-25,1.0806405040660545e-36,5.211107863488217e-24,2.50837565319162e-30,0.0,0.46346346346346345,2.5414478153034906e-17,5.359433191636793e-15,5.3594331948250344e-15,4.987181310877395e-15,1.4344726062991227e-17,1.1069574727558873e-17,1.9428739758087532e-26,6.995015161229055e-36,2.3016115350846916e-42,3.597089508496897e-52,5.749877323443945e-37,4.66295123354998e-38,9.431634640475723e-49,4.262438502706652e-25,1.3508525598073946e-25,4.858032321954626e-35,1.5984673333187927e-41,2.1454415795346157e-29,1.593003171052567e-40,4.663674836183896e-86,2.9708605537466826e-95,8.620744864870304e-62,4.840556753085227e-93,7.514770387413288e-102,7.129895737341446e-103,6.608765685649569e-108,6.2703095505360785e-109
8.99480418139656e-19,0.1307866445600021,0.46346346346346345,0.0,0.0,0.0,0.07307307307305709,5.103138487297648e-49,3.061237299692244e-23,1.5212185581152847e-27,2.5124719697434478e-28,7.662628418186848e-25,8.859743739462147e-36,2.1289075943433525e-23,1.024753305489174e-29,0.0,0.46346346346346345,5.155508596025147e-17,1.0871993041946104e-14,1.0871993054971106e-14,1.0116853504440339e-14,2.9099301427106845e-17,2.2455422974633214e-17,7.937274119091317e-26,5.734799850503994e-35,3.78031697073345e-41,1.1825824140445352e-50,4.7140951790886375e-36,3.822967540894019e-37,1.5491480201805267e-47,1.7413452053573725e-24,5.518673475314908e-25,3.982813821947209e-34,2.6254270555657507e-40,8.764817786221187e-29,1.3060402447064719e-39,6.377176529881605e-84,8.126591093036576e-93,2.8343111577221687e-60,6.57976073140403e-91,2.0449420319016047e-99,1.938736378918693e-100,3.5972030998238065e-105,3.410384337859707e-106
1.8116295745629693e-18,0.1307866445600042,0.46346346346346345,0.0,0.0,0.0,0.07307307307304088,8.272407395556431e-48,1.2374010596303053e-22,6.1490086363775816e-27,1.0155813393289073e-27,3.0973569251157956e-24,7.174850171037971e-35,8.605384861959049e-23,4.1422167441829344e-29,0.0,0.46346346346346345,1.0383630676799219e-16,2.1897112730560215e-14,2.1897112783209354e-14,2.0376197855327827e-14,5.860845210981981e-17,4.5227119334521635e-17,3.2083730918896977e-25,4.643969017493451e-34,6.12777503487157e-40,3.835276107024019e-49,3.817593835033314e-35,3.09593563373939e-36,2.51123309895456e-46,7.038795713414782e-24,2.230736051619448e-24,3.2252327056646794e-33,4.2557347798472664e-39,3.5428705073793943e-28,1.0576652513487012e-38,8.434415002563605e-82,2.1498083882087847e-90,9.193012885631608e-59,8.676431931333594e-89,5.395564033001286e-97,5.113472334729358e-98,1.898348383661072e-102,1.7990998960717287e-103
3.635927887409596e-18,0.13078664456000846,0.46346346346346345,0.0,0.0,0.0,0.07307307307300846,1.3322457081540363e-46,4.975535222789323e-22,2.4724893304188744e-26,4.0836078839791255e-27,1.2454335998110703e-23,5.774943593701633e-34,3.4601873911302846e-22,1.665567166421104e-28,0.0,0.46346346346346345,2.083987691567039e-16,4.3947352059770396e-14,4.3947352271470276e-14,4.089488641214919e-14,1.1762675329317266e-16,9.077051151725746e-17,1.2900726987430965e-24,3.737515234592349e-33,9.867685632663461e-39,1.2353265807904482e-47,3.072727356095643e-34,2.491874156154133e-35,4.0442551174184555e-45,2.8302687794886915e-23,8.969691527295749e-24,2.595701303780415e-32,6.853099687149513e-38,1.4245654279059245e-27,8.513010087694961e-38,1.0973375376905717e-79,5.593758268806749e-88,2.9616467792519215e-57,1.1271436829869495e-86,1.4020774794560847e-94,1.3285625723630705e-95,9.866287465342468e-100,9.348972847524641e-101
7.284524513102848e-18,0.13078664456001693,0.46346346346346345,0.0,0.0,0.0,0.07307307307294364,2.138549407934826e-45,1.995412148472081e-21,9.915788079335261e-26,1.6377093936138685e-26,4.994745792236169e-23,4.6340285057034585e-33,1.3876898932728686e-21,6.67966953486013e-28,0.0,0.46346346346346345,4.1752377702704874e-16,8.804783052611865e-14,8.804783137512985e-14,8.193226294597748e-14,2.3566335493158614e-16,1.8185729373456505e-16,5.1737684363140085e-24,2.9985509461386717e-32,1.5836909230877505e-37,3.9647140642950934e-46,2.465663311993769e-33,1.9995653657533608e-34,6.491898255116441e-44,1.1350643520983123e-22,3.597247461711055e-23,2.082491224904369e-31,1.0998720766865127e-36,5.7130866001724056e-27,6.831154459700816e-37,1.4160482762215e-77,1.4434701994929535e-85,9.509196013071591e-56,1.4534343002000943e-84,3.615689296124259e-92,3.425994622449573e-93,5.088728492700129e-97,4.821752137244613e-98
