Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157),C6H10(176),C6H10(175),C6H10(182),C6H10(185),C6H10(188)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.602333674913925e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307279,2.4550054312067077e-55,1.446937224918114e-26,7.190255244452698e-31,1.1875555092982822e-31,3.6218499857593065e-28,1.2918120265196e-40,1.0062583676476566e-26,4.84364177977943e-33,0.0,0.46346346346346345,9.184018172342317e-19,1.936735945046455e-16,1.9367359451080195e-16,1.802215452868487e-16,5.18374716104582e-19,4.0002072116068626e-19,3.751665190098527e-29,8.362118963367715e-40,1.818706362917294e-47,1.9381754836738523e-58,6.873482026055457e-41,5.5741560740579166e-42,7.452610998021438e-54,8.230715089763574e-28,2.6084792849655338e-28,5.807484790237681e-39,1.2630900836175671e-46,4.1428255662504154e-32,1.9042971693866323e-44,8.439197598681612e-95,3.764665357963571e-105,4.644785466606215e-68,7.625616055317305e-102,8.47016415852774e-112,7.865269989950464e-113,5.225095853711657e-119,4.851947240186282e-120,1.1199577253775768e-131
4.48653428975899e-20,0.1307866445600001,0.46346346346346345,0.0,0.0,0.0,0.07307307307307226,5.491748949363364e-54,8.739500838111544e-26,4.342914167702989e-30,7.172835275781857e-31,2.18759739147403e-27,1.5336392377997347e-39,6.077800540226722e-26,2.9255596358135975e-32,0.0,0.46346346346346345,2.571525093448189e-18,5.42286064601005e-16,5.4228606463819e-16,5.046203267669444e-16,1.4514492050473195e-18,1.1200580191156861e-18,2.266005774543993e-28,9.927493899083596e-39,4.0683680087655326e-46,7.997911528588346e-57,8.16019769560209e-40,6.617637929384095e-41,1.6671192202072656e-52,4.97135191371857e-27,1.5755214880541821e-27,6.894636405068251e-38,2.8254782594712373e-45,2.5022664537685956e-31,2.2607815994837806e-43,8.992619675974366e-93,7.258414851143573e-103,1.9166836841234743e-66,9.918820597625526e-100,1.9245523743069371e-109,1.8493616016098157e-110,2.142225843116576e-116,2.0583617282023018e-117,8.276242759833809e-129
1.025493551944912e-19,0.13078664456000025,0.46346346346346345,0.0,0.0,0.0,0.07307307307307123,1.0850770484969433e-52,4.207693449471082e-25,2.0909262251671716e-29,3.453411420469659e-30,1.0532339759719196e-26,1.50573609784981e-38,2.9261993325717055e-25,1.408531030800091e-31,0.0,0.46346346346346345,5.87777166664547e-18,1.239511004745715e-15,1.2395110049247446e-15,1.1534178895822093e-15,3.3175981827507557e-18,2.5601326144887443e-18,1.090984236867376e-27,9.746843287722859e-38,8.038386356471689e-45,3.1638733891722277e-55,8.011730135804329e-39,6.497235818535849e-40,3.293946431008479e-51,2.3934919473553065e-26,7.585457759704774e-27,6.769174704091032e-37,5.582652760624036e-44,1.20473339229568e-30,2.219648780599611e-42,2.046509664936365e-90,3.293804684287099e-100,7.5822096619039205e-65,2.1974811674513468e-97,8.57926450912858e-107,8.178023322355753e-108,1.9074054872312664e-113,1.8182149064284527e-114,1.472641509084653e-125
2.1791737978829383e-19,0.1307866445600005,0.46346346346346345,0.0,0.0,0.0,0.07307307307306918,1.9308366323112416e-51,1.83761027503552e-24,9.131624161284906e-29,1.5081954962200356e-29,4.5997494830831586e-26,1.3318065263116313e-37,1.27794812634659e-24,6.151425073135614e-31,0.0,0.46346346346346345,1.2490264896117496e-17,2.6339608848430977e-15,2.633960885624967e-15,2.451013014633033e-15,7.04989613742947e-18,5.440281803087097e-18,4.764614787154623e-27,8.620920757438435e-37,1.4303795910095949e-43,1.129148988919291e-53,7.086283950673815e-38,5.7467308932003376e-39,5.861400912212065e-50,1.0453008156271033e-25,3.3127686908987335e-26,5.987222428143406e-36,9.933974582891269e-43,5.2613855513161754e-30,1.963254209672076e-41,3.458510268512271e-88,1.1141109154780362e-97,2.70603649542578e-63,3.632183163737881e-95,2.847153401187519e-104,2.7055198808266777e-105,1.2664859177865672e-110,1.2034894365950268e-111,1.95599313243076e-122
4.48653428975899e-19,0.13078664456000105,0.46346346346346345,0.0,0.0,0.0,0.07307307307306508,3.256638197256796e-50,7.671661161021483e-24,3.812273331355779e-28,6.296419305000252e-29,1.9203048635015397e-25,1.1194636321933888e-36,5.3351818601744766e-24,2.568098883173213e-30,0.0,0.46346346346346345,2.5715251687371406e-17,5.422860644269719e-15,5.42286064753387e-15,5.046203262415854e-15,1.4514492043874276e-17,1.1200580171692743e-17,1.9891328799467906e-26,7.246316288101977e-36,2.412516197697177e-42,3.815038181848205e-52,5.956447590619631e-37,4.830472557002201e-38,9.886106770758284e-49,4.363925133636815e-25,1.3830157159819873e-25,5.032560749595968e-35,1.6754905310474667e-41,2.196523489187874e-29,1.6502334580927422e-40,5.064019126488182e-86,3.26406508554787e-95,9.143083857734624e-62,5.256085176950302e-93,8.25642911955361e-102,7.833570565435165e-103,7.346939751733274e-108,6.970679980129703e-109,2.2696076149915768e-119
9.101255273511095e-19,0.13078664456000214,0.46346346346346345,0.0,0.0,0.0,0.07307307307305688,5.349038017569629e-49,3.134123902009745e-23,1.5574380476018468e-27,2.57229273087368e-28,7.845071952060642e-25,9.178039199393061e-36,2.17959587034712e-23,1.0491521938329186e-29,0.0,0.46346346346346345,5.2165226599118666e-17,1.1000660160050378e-14,1.1000660173385497e-14,1.023658374870619e-14,2.944368384511338e-17,2.2721176874539798e-17,8.126256835819953e-26,5.940825134495204e-35,3.962472947612261e-41,1.254234640743315e-50,4.8834538853694664e-36,3.960311565781182e-37,1.6237951554755605e-47,1.782805805413879e-24,5.650070462729788e-25,4.125898213878477e-34,2.751934233157267e-40,8.973503655758443e-29,1.3529610917245216e-39,6.924613056311124e-84,8.928630124586918e-93,3.00604470686484e-60,7.144587826699387e-91,2.2467638312364775e-99,2.1300767920781995e-100,3.998995948774335e-105,3.7913109824663907e-106,2.4708701069572618e-116
1.8330697241015305e-18,0.13078664456000424,0.46346346346346345,0.0,0.0,0.0,0.07307307307304048,8.67102113056538e-48,1.2668629895760535e-22,6.295413603972155e-27,1.0397618473643287e-27,3.1711035186579446e-24,7.432614086204335e-35,8.810274977298656e-23,4.240840953331835e-29,0.0,0.46346346346346345,1.0506518173957093e-16,2.2156259179321367e-14,2.2156259233224056e-14,2.0617344684185636e-14,5.930206740098954e-17,4.576237014277699e-17,3.2847629270929666e-25,4.810803005260477e-34,6.42304065627356e-40,4.067649013422081e-49,3.954744778021708e-35,3.207160260790308e-36,2.6322391645508515e-46,7.206386086968325e-24,2.283848814678245e-24,3.341098774680776e-33,4.4607965141506024e-39,3.627224349860402e-28,1.0956629697596505e-38,9.158451085295041e-82,2.3619785068159142e-90,9.750025993404528e-59,9.421243798806373e-89,5.928066065831292e-97,5.61813605191078e-98,2.110384963805547e-102,2.0000516115869298e-103,2.607973526889614e-113
3.678958117602372e-18,0.13078664456000855,0.46346346346346345,0.0,0.0,0.0,0.07307307307300769,1.39644122128991e-46,5.094000346775639e-22,2.5313581240500032e-26,4.1808366427686476e-27,1.2750867808289894e-23,5.982414416530517e-34,3.5425728048657006e-22,1.7052235282942787e-28,0.0,0.46346346346346345,2.108651132883065e-16,4.446745716870203e-14,4.446745738544237e-14,4.137886640673965e-14,1.1901883432633371e-16,9.184475612942364e-17,1.3207887151239612e-24,3.871780635123111e-33,1.034314685128304e-38,1.3101696870659362e-47,3.1831181603746025e-34,2.5813972108064247e-35,4.239131148419676e-45,2.8976561309181676e-23,9.183255610675393e-24,2.688948516042148e-32,7.183307119681582e-38,1.4584834775451928e-27,8.818848782583269e-38,1.1915363231680614e-79,6.145813972574772e-88,3.141095622177064e-57,1.2239012004699957e-86,1.5404504065619914e-94,1.4596812734609238e-95,1.0968293318290537e-99,1.0393205261902419e-100,2.710921089229269e-110
7.370734904604056e-18,0.13078664456001715,0.46346346346346345,0.0,0.0,0.0,0.07307307307294209,2.2415974235843405e-45,2.0429219612374017e-21,1.0151878272099424e-25,1.6767024741310716e-26,5.113668311660934e-23,4.800510773281185e-33,1.4207301285548685e-21,6.838709291852005e-28,0.0,0.46346346346346345,4.2246506145710186e-16,8.908985295081808e-14,8.908985382004383e-14,8.290190925822815e-14,2.3845236743138954e-16,1.8400952590340611e-16,5.296953397030284e-24,3.1062630291413136e-32,1.65999533904677e-37,4.2048981477116525e-46,2.5542446488516236e-33,2.0714016557343152e-34,6.8047158149856615e-44,1.1620896934433221e-22,3.68289621031517e-23,2.1572971805959687e-31,1.1528654327087001e-36,5.849111068693571e-27,7.076570751058308e-37,1.5376060602569189e-77,1.5859248110201275e-85,1.008536636974663e-55,1.5782016322795508e-84,3.9725178628395564e-92,3.7641079038546967e-93,5.657096921539673e-97,5.360309338802489e-98,2.796434297153359e-107
