Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157),C6H10(176),C6H10(175),C6H10(182),C6H10(185),C6H10(188),C3H5(39)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.620858379059367e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307277,2.597784684687916e-55,1.4805869278223873e-26,7.357470482696862e-31,1.2151730792811903e-31,3.7060790551970997e-28,1.3371362254226686e-40,1.0296597250340705e-26,4.956284611884094e-33,0.0,0.46346346346346345,9.290195320381373e-19,1.9591266998254564e-16,1.9591266998884524e-16,1.823051005781915e-16,5.243676864842176e-19,4.046453918062493e-19,3.838913217769648e-29,8.655510055201632e-40,1.9042809383009225e-47,2.0528330442578844e-58,7.114643323269115e-41,5.76972954067257e-42,7.803274681608169e-54,8.422127068585168e-28,2.6691415939169013e-28,6.011244663892819e-39,1.3225215563298901e-46,4.2391703430423933e-32,1.9711108713073487e-44,9.146310244468805e-95,4.1272736241230565e-105,4.9717406393869215e-68,3.4436476103990604e-100,8.275691837210259e-111,3.592936226352579e-111,1.0534222354758101e-106,2.3408720292248315e-118,2.284030818102144e-119,1.7752005660423505e-47
4.5384034613662285e-20,0.1307866445600001,0.46346346346346345,0.0,0.0,0.0,0.07307307307307226,5.811140428299275e-54,8.942745043639543e-26,4.443912171604346e-30,7.3396453984653035e-31,2.238471749417103e-27,1.587448126733493e-39,6.21914473882786e-26,2.993595906433826e-32,0.0,0.46346346346346345,2.601254695019878e-18,5.485554759388464e-16,5.485554759768961e-16,5.10454281581862e-16,1.4682295221092411e-18,1.1330070969201414e-18,2.318703583247685e-28,1.0275807157080403e-38,4.259794592836324e-46,8.471047458109647e-57,8.446504379856103e-40,6.849822741338842e-41,1.7455612806363023e-52,5.0869647489093226e-27,1.6121615226585284e-27,7.136539678290386e-38,2.95842386577714e-45,2.5604586923461755e-31,2.34010282640349e-43,9.746103048196266e-93,7.957536958493857e-103,2.0516026480226377e-66,3.689113641529864e-98,1.6278778190585212e-108,6.964201789592369e-109,1.1225031390331659e-104,8.035336331305721e-116,4.403702051591894e-117,2.1075181145482807e-46
1.0373493625979951e-19,0.13078664456000025,0.46346346346346345,0.0,0.0,0.0,0.07307307307307122,1.1481834225575754e-52,4.305546785495983e-25,2.139552416451395e-29,3.533723313959967e-30,1.077727789368399e-26,1.5585659840789289e-38,2.9942504798321857e-25,1.4412875664196428e-31,0.0,0.46346346346346345,5.945725042235735e-18,1.2538410878023223e-15,1.2538410879855154e-15,1.1667526434409058e-15,3.3559531931730155e-18,2.5897305065984967e-18,1.1163559632996384e-27,1.0088817941063677e-37,8.416611653035332e-45,3.35103976718649e-55,8.292827719662624e-39,6.725196227630365e-40,3.448934711108907e-51,2.4491545507703873e-26,7.761863754101148e-27,7.006675821606675e-37,5.845329920261507e-44,1.2327504434796267e-30,2.2975268315566376e-42,2.2179848345555837e-90,3.611060013602159e-100,8.115935634212875e-65,8.389008238281426e-96,7.370082800038147e-106,3.1579226615633373e-106,2.554554521629725e-102,7.188432828466734e-113,1.9983669746305816e-114,2.0691737876585347e-45
2.2043673955207394e-19,0.13078664456000053,0.46346346346346345,0.0,0.0,0.0,0.07307307307306915,2.0431310532974472e-51,1.8803453977025292e-24,9.343987513884127e-29,1.5432698100776718e-29,4.7067204013101664e-26,1.378533962386909e-37,1.3076678502074807e-24,6.294481470358195e-31,0.0,0.46346346346346345,1.2634665821676948e-17,2.664412311332772e-15,2.664412312132824e-15,2.4793493665658053e-15,7.131400534555472e-18,5.5031773237574955e-18,4.8754197821471145e-27,8.9233910305746e-37,1.4976822699562607e-43,1.1959462722812969e-53,7.334911550883925e-38,5.94835926479919e-39,6.137194230291639e-50,1.0696101369103299e-25,3.389809823231624e-26,6.197287785953006e-36,1.0401391138844764e-42,5.383743315468035e-30,2.032136463800553e-41,3.7482956674762945e-88,1.2214206648030363e-97,2.8965194811627126e-63,1.416812941993545e-93,2.486824479465442e-103,1.0674794275868279e-103,4.317084245897861e-100,4.832430945819336e-110,6.759403274227715e-112,1.8301607921115996e-44
4.538403461366228e-19,0.13078664456000105,0.46346346346346345,0.0,0.0,0.0,0.073073073073065,3.4460391519051713e-50,7.850071885627172e-24,3.900930850699049e-28,6.442847660863706e-29,1.9649631161543665e-25,1.1587408577287396e-36,5.45925585685854e-24,2.6278221131597913e-30,0.0,0.46346346346346345,2.6012547720597366e-17,5.485554757607662e-15,5.485554760947723e-15,5.104542810442851e-15,1.4682295214340027e-17,1.1330070949284642e-17,2.0353917840831698e-26,7.500556681619087e-36,2.5260303434785667e-42,4.040723890146075e-52,6.165434020101517e-37,4.999953304111368e-38,1.0351272359395085e-48,4.465411764563977e-25,1.41517887215619e-25,5.20913049552779e-35,1.7543260127101958e-41,2.2476053977064965e-29,1.708133143151276e-40,5.488328616326167e-86,3.5784552107045706e-95,9.786682661861244e-62,2.0738442983663965e-91,7.276350064822903e-101,3.126427659227287e-101,6.321162403006987e-98,2.822719292352537e-107,1.9803583977239899e-109,1.5383604373378418e-43
9.206475593057207e-19,0.13078664456000214,0.46346346346346345,0.0,0.0,0.0,0.0730730730730567,5.66012965548957e-49,3.2070105043253046e-23,1.5936575370886772e-27,2.6321134920020384e-28,8.027515485938178e-25,9.50005762421951e-36,2.2302841463490854e-23,1.07355108218075e-29,0.0,0.46346346346346345,5.276831287859018e-17,1.1127839647013404e-14,1.112783966065864e-14,1.0354929688705936e-14,2.9784084561987686e-17,2.2983858165175535e-17,8.31523955253499e-26,6.149260052452456e-35,4.1489148215471046e-41,1.3284304196529838e-50,5.0547935056237796e-36,4.099262042746806e-37,1.7001986927918527e-47,1.8242664054679237e-24,5.781467450141464e-25,4.270656094642321e-34,2.8814179627689233e-40,9.182189515993278e-29,1.4004307516812112e-39,7.504819935126571e-84,9.788620498079374e-93,3.217645811698087e-60,2.835338455641477e-89,1.9890963589516593e-98,8.550778584476372e-99,8.643655222487293e-96,1.5418709092151082e-104,5.4172631070146615e-107,1.2612408567678327e-42
1.8542619856439163e-18,0.1307866445600043,0.46346346346346345,0.0,0.0,0.0,0.07307307307304012,9.175314085290294e-48,1.296324919520228e-22,6.441818571568886e-27,1.0639423553982313e-27,3.2448501122031188e-24,7.693392954852131e-35,9.015165092623663e-23,4.3394651625138287e-29,0.0,0.46346346346346345,1.0627984863518374e-16,2.241240941324873e-14,2.2412409468404976e-14,2.085570340726806e-14,5.99876632095972e-17,4.6291432456303716e-17,3.361152762285213e-25,4.979588127020391e-34,6.725253295657482e-40,4.3082704720717115e-49,4.093499913486172e-35,3.31968583143842e-36,2.756092427921175e-46,7.373976460501926e-24,2.3369615777344438e-24,3.458319904679675e-33,4.6706829468182685e-39,3.711578184808108e-28,1.1341051311170263e-38,9.925829014543828e-82,2.5894788420566475e-90,1.0436348450558528e-58,3.7496957190774717e-87,5.260228246419842e-96,2.2618667997199857e-96,1.1432062402938394e-93,8.151474889174117e-102,1.433148735579506e-104,1.0213855884728899e-41
3.721490838320307e-18,0.13078664456000866,0.46346346346346345,0.0,0.0,0.0,0.07307307307300694,1.4776560482263226e-46,5.212465470749277e-22,2.59022691768286e-26,4.2780654015459384e-27,1.3047399618493389e-23,6.1923119361915576e-34,3.6249582185893617e-22,1.744879890194088e-28,0.0,0.46346346346346345,2.1330294191080262e-16,4.498154889541479e-14,4.498154911719562e-14,4.185725069253614e-14,1.2039482031407298e-16,9.290658047594566e-17,1.3515047314959532e-24,4.007616075588248e-33,1.0829794077254766e-38,1.3876692736255764e-47,3.2948001534610707e-34,2.671967373302878e-35,4.4385924856538506e-45,2.9650434823315864e-23,9.396819694034114e-24,2.7832861197855904e-32,7.521283225344859e-38,1.4924015211210806e-27,9.128264740957484e-38,1.2913739804668366e-79,6.737757389167508e-88,3.3622031223991455e-57,4.878250394960198e-85,1.36847314370842e-93,5.885248452466642e-94,1.4873429358512804e-91,4.24045500364488e-99,3.7293676195945846e-102,8.221000490153288e-41
7.455948543673089e-18,0.13078664456001732,0.46346346346346345,0.0,0.0,0.0,0.07307307307294059,2.371965211126024e-45,2.0904317739925463e-21,1.0387968464877443e-25,1.7156955546384593e-26,5.2325908311051964e-23,4.9689403121990113e-33,1.4537703638274328e-21,6.99774904905759e-28,0.0,0.46346346346346345,4.2734921551176767e-16,9.01198276585285e-14,9.01198285479688e-14,8.386034465564769e-14,2.412091337600518e-16,1.86136874264772e-16,5.420138357675368e-24,3.215234324772354e-32,1.7380947308540033e-37,4.453605852305097e-46,2.6438620756135255e-33,2.1440781762049013e-34,7.124893749038638e-44,1.1891150347754457e-22,3.768544958902497e-23,2.232977658477132e-31,1.2071053980433186e-36,5.98513548856116e-27,7.32485757106936e-37,1.6664404548546814e-77,1.7386718323692837e-85,1.0795293475534148e-55,6.2949785033443465e-83,3.531037420600427e-91,1.5187400598545047e-91,1.9193381686430995e-89,2.188191887650779e-96,9.625412151653703e-100,6.5968362581721e-40
