Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157),C6H10(176),C6H10(175),C6H10(182),C6H10(185),C6H10(188),C3H5(39),[CH2]C[CH]C(26)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6391737443513285e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307277,2.7172076376523095e-55,1.5142366307266346e-26,7.524685720941071e-31,1.242790649264073e-31,3.7903081246349463e-28,1.3829784432043423e-40,1.0530610824204604e-26,5.06892744415126e-33,0.0,0.46346346346346345,9.395172611074069e-19,1.9812644273551497e-16,1.9812644274195767e-16,1.8436511060411564e-16,5.302929331615764e-19,4.0921780125275274e-19,3.926161245440582e-29,8.952254362438216e-40,1.9918227433345815e-47,2.171466856985444e-58,7.358560898671632e-41,5.967538253502831e-42,8.161999599118867e-54,8.613539047406425e-28,2.7298039028682966e-28,6.21733334290688e-39,8.535274710506874e-41,4.335515119704938e-32,2.0386881997186597e-44,9.894762144713097e-95,4.515466277162551e-105,5.259059178545107e-68,3.725444809623298e-100,9.054065906612143e-111,3.930871548012536e-111,1.139624852733308e-106,2.588761350870706e-118,2.4988564524922555e-119,1.8360613291472306e-47,2.1442838360731947e-33
4.58968648418372e-20,0.13078664456000008,0.46346346346346345,0.0,0.0,0.0,0.07307307307307224,6.078284797166157e-54,9.145989249167216e-26,4.544910175505751e-30,7.506455521148434e-31,2.2893461073602384e-27,1.6418720076798353e-39,6.36048893742869e-26,3.0616321772469723e-32,0.0,0.46346346346346345,2.630648336534587e-18,5.547540396468813e-16,5.547540396857957e-16,5.162223096536068e-16,1.4848202128047822e-18,1.1458098433672288e-18,2.3714013919511507e-28,1.062810133754746e-38,4.455621779914248e-46,8.96059142416481e-57,8.736083317396655e-40,7.084661237425873e-41,1.8258066067474384e-52,5.2025775840996655e-27,1.648801557262906e-27,7.381207698918067e-38,1.0133092270527931e-39,2.618650930770089e-31,2.4203306306928304e-43,1.0543636602288792e-92,8.705986694639665e-103,2.170165444372303e-66,3.9909975761271425e-98,1.780988602750412e-108,7.619223016065854e-109,1.2143587172214229e-104,8.888085642200971e-116,4.817894399514945e-117,2.1797720126706548e-46,1.2951473829366074e-32
1.0490711963848503e-19,0.13078664456000025,0.46346346346346345,0.0,0.0,0.0,0.07307307307307119,1.2009666480796086e-52,4.403400121520568e-25,2.1881786077356608e-29,3.614035207449969e-30,1.1022216027649396e-26,1.6119996731126624e-38,3.0623016270923694e-25,1.4740441022286018e-31,0.0,0.46346346346346345,6.012910509124339e-18,1.2680092334193716e-15,1.2680092336067283e-15,1.1799367076009217e-15,3.39387477190067e-18,2.6189939270342654e-18,1.14172768973168e-27,1.0434701056225152e-37,8.803531751877373e-45,3.544696931966664e-55,8.577138020822129e-39,6.955762039171645e-40,3.607485939880905e-51,2.5048171541850653e-26,7.938269748497828e-27,7.246891362667501e-37,9.94876001849688e-39,1.2607674945127023e-30,2.3762949655510923e-42,2.3994847937530607e-90,3.9506997648319605e-100,8.584958236857265e-65,9.075489341000536e-96,8.063278997929292e-106,3.454942462001708e-106,2.763596327231828e-102,7.952342790514814e-113,2.186324356986454e-114,2.1401130936426492e-45,6.23557658452682e-32
2.2292762923178065e-19,0.13078664456000053,0.46346346346346345,0.0,0.0,0.0,0.0730730730730691,2.137055982922607e-51,1.923080520369258e-24,9.556350866483732e-29,1.5783441239350373e-29,4.8136913195377206e-26,1.4257954552046757e-37,1.3373875740681118e-24,6.437537869256053e-31,0.0,0.46346346346346345,1.2777434941245414e-17,2.694519620763384e-15,2.69451962158162e-15,2.507365502888881e-15,7.211983889330345e-18,5.565362092120678e-18,4.98622477713765e-27,9.229318237952723e-37,1.566532125459533e-43,1.2650600216937697e-53,7.586380762488608e-38,6.152292084697984e-39,6.419327623591582e-50,1.0939194581932022e-25,3.466850955564785e-26,6.40975398177571e-36,8.799618828435379e-38,5.506101078285457e-30,2.101805986295758e-41,4.0550225136227884e-88,1.3363018045604886e-97,3.063910295721094e-63,1.532752189214164e-93,2.7207236061420424e-103,1.1678816196990373e-103,4.670355660174607e-100,5.346326955286648e-110,7.395162254027597e-112,1.8929058055111316e-44,2.7232396340132365e-31
4.58968648418372e-19,0.13078664456000105,0.46346346346346345,0.0,0.0,0.0,0.0730730730730649,3.6044572740932897e-50,8.02848261023051e-24,3.9895883700426396e-28,6.589276016724892e-29,2.009621368807653e-25,1.1984669901349081e-36,5.583329853540429e-24,2.6875453445545462e-30,0.0,0.46346346346346345,2.6306484153253844e-17,5.547540394647536e-15,5.547540398063509e-15,5.162223091038123e-15,1.4848202121141305e-17,1.1458098413302859e-17,2.0816506882179062e-26,7.757702742497791e-36,2.6421539711155406e-42,4.274236078153467e-52,6.3768089940441374e-37,5.171371077761485e-38,1.0827131406267181e-48,4.5668983954881655e-25,1.4473420283306213e-25,5.387718225078526e-35,7.3966994353652306e-37,2.298687305103445e-29,1.76669457470851e-40,5.9374441048460226e-86,3.915027523132552e-95,1.0352258251256804e-61,2.2435490874625887e-91,7.960728591141508e-101,3.4204847136907296e-101,6.838429583804338e-98,3.1230011843446017e-107,2.166621976070967e-109,1.5911014028115657e-43,1.1368985358664978e-30
9.310506867915545e-19,0.13078664456000216,0.46346346346346345,0.0,0.0,0.0,0.07307307307305652,5.920331896945695e-49,3.279897106638938e-23,1.629877026575773e-27,2.6919342531285388e-28,8.209959019819477e-25,9.825756458781539e-36,2.280972422349266e-23,1.097949971683089e-29,0.0,0.46346346346346345,5.336458396833584e-17,1.1253581939200349e-14,1.125358195315571e-14,1.047193825762989e-14,3.0120638572569645e-17,2.3243571019704657e-17,8.504222269236565e-26,6.360077057654127e-35,4.339642588220406e-41,1.4051991532410816e-50,5.228091397073283e-36,4.239800609282952e-37,1.778358632090304e-47,1.865727005519531e-24,5.912864437555016e-25,4.417068333067585e-34,6.064408006598422e-36,9.390875367032003e-29,1.4484429513985511e-39,8.11894688659434e-84,1.0709288287801159e-92,3.403594598853512e-60,3.0673570762394083e-89,2.1761806221689306e-98,9.355022815454872e-99,9.350974374640426e-96,1.7059242648193918e-104,5.926786445614059e-107,1.3044810884448446e-42,4.644598176260321e-30
1.8752147635379197e-18,0.13078664456000436,0.46346346346346345,0.0,0.0,0.0,0.07307307307303974,9.597113131768445e-48,1.3257868494628435e-22,6.588223539167775e-27,1.0881228634306308e-27,3.318596705751344e-24,7.95715231470951e-35,9.220055207934224e-23,4.4380893810453104e-29,0.0,0.46346346346346345,1.0748078916276029e-16,2.2665665015443994e-14,2.2665665071853806e-14,2.109136855198657e-14,6.066551142665203e-17,4.681451608865798e-17,3.4375425974665606e-25,5.150302074724587e-34,7.03441293902149e-40,4.5572358166569944e-49,4.233840904717834e-35,3.433497475250227e-36,2.8827928889387305e-46,7.541566834015801e-24,2.3900743407921647e-24,3.576880602747151e-33,4.911352781238572e-35,3.795932012308617e-28,1.1729866552388337e-38,1.0738069401592442e-81,2.8330305274150576e-90,1.1039468283921213e-58,4.056537094621314e-87,5.7549754142252604e-96,2.474605974113192e-96,1.2367559796149356e-93,9.018856019773735e-102,1.5679442460703274e-104,1.0564026519280262e-41,1.877418172735577e-29
3.7635429170306505e-18,0.13078664456000874,0.46346346346346345,0.0,0.0,0.0,0.07307307307300619,1.545585484392684e-46,5.33093059471037e-22,2.649095711317458e-26,4.3752941603111335e-27,1.3343931428721456e-23,6.404608414450219e-34,3.7073436323013953e-22,1.7845362596191589e-28,0.0,0.46346346346346345,2.157132218086512e-16,4.5489831116483387e-14,4.548983134330475e-14,4.2330228985392484e-14,1.2175525693971957e-16,9.395640565116352e-17,1.3822207478591724e-24,4.1450036005319235e-33,1.132762726548313e-38,1.4678560325465008e-47,3.4077585763765605e-34,2.7635726746273357e-35,4.6426391287124836e-45,3.0324308337291284e-23,9.61038377740508e-24,2.8787016449730997e-32,3.953466983394675e-34,1.526319558702893e-27,9.441217073096236e-38,1.3970483442864427e-79,7.371464777919386e-88,3.5565058236649743e-57,5.277442465674932e-85,1.4971823439745793e-93,6.438778939950691e-94,1.609053742179189e-91,4.6916893133315296e-99,4.08013514777434e-102,8.502848325497401e-41,7.548994421911491e-29
7.540199224016111e-18,0.13078664456001754,0.46346346346346345,0.0,0.0,0.0,0.07307307307293909,2.4810070004827366e-45,2.137941586737625e-21,1.062405865766943e-25,1.7546886351361388e-26,5.351513350569179e-23,5.139294864270611e-33,1.4868105990906679e-21,7.156788866648333e-28,0.0,0.46346346346346345,4.321781761286013e-16,9.113816311277056e-14,9.113816402242572e-14,8.480794923097458e-14,2.4393474718546586e-16,1.8824018247457027e-16,5.5433233182500635e-24,3.32545042491708e-32,1.8179890840387559e-37,4.710935589576958e-46,2.7345037491288344e-33,2.217585322787329e-34,7.452432055963831e-44,1.2161403760948276e-22,3.854193707499651e-23,2.309522652142852e-31,3.1730227401600444e-33,6.1211598603313164e-27,7.575982108312483e-37,1.802806752640771e-77,1.9021953729606033e-85,1.1419156215555968e-55,6.81010266099396e-83,3.863134309466403e-91,1.6615810316119034e-91,2.0763996162366415e-89,2.421042857044352e-96,1.0530735206123e-99,6.823001467296793e-40,3.0274671723889617e-28
